Year;Kind of Building;Building_2_or_more_flats;Building_with_1_flat
2010;Residential;1016,00;12714,00
2011;Residential;1021,00;13351,00
2012;Residential;1085,00;11938,00
2013;Residential;1080,00;11691,00
2014;Residential;1134,00;12222,00
2015;Residential;1152,00;12284,00
2016;Residential;1209,00;13074,00
2017;Residential;1232,00;12614,00
2018;Residential;1278,00;12607,00
2019;Residential;1205,92;12865,55
2020;Residential;1258,76;13501,20
2021;Residential;1275,55;14936,26
2022;Residential;577,22;6674,67
