"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"30501.0","Allhartsberg","21,28","2.147","44,09","3,66"
"30502.0","Amstetten","51,95","23.841","80,31","3,56"
"30503.0","Ardagger","46,93","3.541","42,93","2,54"
"30504.0","Aschbach-Markt","37,26","3.819","45,00","4,50"
"30506.0","Behamberg","20,27","3.426","70,85","3,89"
"30507.0","Biberbach","28,42","2.263","49,41","3,62"
"30508.0","Ennsdorf","7,69","3.068","115,00","6,83"
"30509.0","Ernsthofen","17,72","2.253","64,18","3,62"
"30510.0","Ertl","20,99","1.26","36,83","2,72"
"30511.0","Euratsfeld","30,47","2.679","57,47","3,71"
"30512.0","Ferschnitz","15,51","1.831","48,00","4,00"
"30514.0","Haag","55,03","5.639","79,73","4,96"
"30515.0","Haidershofen","31,95","3.695","71,23","5,12"
"30516.0","Hollenstein an der Ybbs","126,58","1.698","45,15","7,01"
"30517.0","Kematen an der Ybbs","10,99","2.6","55,00","5,06"
"30520.0","Neuhofen an der Ybbs","36,37","2.975","41,45","3,21"
"30521.0","Neustadtl an der Donau","47,89","2.142","41,03","1,99"
"30522.0","Oed-Oehling","10,66","1.937","46,86","3,71"
"30524.0","Opponitz","39,63","908.0","40,62","1,71"
"30526.0","St. Georgen am Reith","40,11","546.0","41,77","2,09"
"30527.0","St. Georgen am Ybbsfelde","22,72","2.846","55,00","5,82"
"30529.0","St. Pantaleon-Erla","28,48","2.627","75,72","4,94"
"30530.0","St. Peter in der Au","59,87","5.204","55,00","3,10"
"30531.0","St. Valentin","45,75","9.3","95,50","7,15"
"30532.0","Seitenstetten","30,54","3.448","55,52","5,43"
"30533.0","Sonntagberg","18,31","3.818","46,71","3,36"
"30534.0","Strengberg","36,69","2.087","51,03","4,30"
"30536.0","Viehdorf","15,73","1.364","45,00","3,62"
"30538.0","Wallsee-Sindelburg","25,97","2.192","61,88","4,60"
"30539.0","Weistrach","35,75","2.262","58,22","3,52"
"30541.0","Winklarn","12,58","1.76","63,81","4,53"
"30542.0","Wolfsbach","31,01","2.044","39,77","5,08"
"30543.0","Ybbsitz","104,36","3.41","50,00","2,68"
"30544.0","Zeillern","21,48","1.887","49,00","4,03"
"","","","","",""
"","","","","",""
