"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"30601.0","Alland","68,55","2.574","151,77","4,31"
"30602.0","Altenmarkt an der Triesting","63,57","2.09","82,45","2,49"
"30603.0","Bad Vöslau","39,16","12.061","237,52","2,15"
"30604.0","Baden","26,90","25.951","365,19","3,07"
"30605.0","Berndorf","17,62","9.059","128,37","3,69"
"30607.0","Ebreichsdorf","43,23","11.234","171,85","7,62"
"30608.0","Enzesfeld-Lindabrunn","15,90","4.226","125,18","2,18"
"30609.0","Furth an der Triesting","64,19","858.0","91,03","6,30"
"30612.0","Günselsdorf","6,61","1.722","137,50","2,46"
"30613.0","Heiligenkreuz","29,72","1.54","172,72","2,70"
"30614.0","Hernstein","46,51","1.536","107,18","2,83"
"30615.0","Hirtenberg","1,49","2.616","118,99","14,17"
"30616.0","Klausen-Leopoldsdorf","60,00","1.698","109,75","2,11"
"30618.0","Kottingbrunn","11,52","7.416","160,69","4,12"
"30620.0","Leobersdorf","12,40","4.907","156,27","4,00"
"30621.0","Mitterndorf an der Fischa","10,79","2.886","99,84","5,17"
"30623.0","Oberwaltersdorf","13,57","4.739","228,99","3,78"
"30625.0","Pfaffstätten","7,84","3.588","380,05","3,15"
"30626.0","Pottendorf","39,79","7.192","152,82","4,30"
"30627.0","Pottenstein","33,53","2.928","115,73","8,45"
"30629.0","Reisenberg","17,82","1.755","103,50","2,41"
"30631.0","Schönau an der Triesting","8,14","2.136","161,24","1,91"
"30633.0","Seibersdorf","20,20","1.508","82,63","5,09"
"30635.0","Sooß","5,50","1.052","107,50","3,66"
"30636.0","Tattendorf","14,35","1.483","147,14","3,30"
"30637.0","Teesdorf","7,30","1.81","130,00","8,52"
"30639.0","Traiskirchen","29,12","19.132","186,14","4,09"
"30641.0","Trumau","18,58","3.724","202,50","4,50"
"30645.0","Weissenbach an der Triesting","15,87","1.709","101,40","4,37"
"30646.0","Blumau-Neurißhof","4,33","1.847","130,00","5,36"
"","","","","",""
"","","","","",""
