"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"80101.0","Bartholomäberg","27,21","2.365","168,43","2,24"
"80102.0","Blons","14,90","328.0","100,05","2,68"
"80103.0","Bludenz","29,96","14.832","258,75","7,95"
"80104.0","Bludesch","7,59","2.4","224,98","8,84"
"80105.0","Brand","40,32","726.0","215,86","8,90"
"80106.0","Bürs","24,63","3.368","224,84","8,98"
"80107.0","Bürserberg","13,73","547.0","151,77","7,08"
"80108.0","Dalaas","94,30","1.603","111,30","3,53"
"80109.0","Fontanella","31,19","456.0","125,49","2,40"
"80110.0","Gaschurn","175,38","1.446","163,27","6,24"
"80111.0","Innerbraz","19,93","1.0","122,19","10,46"
"80112.0","Klösterle","62,28","682.0","141,00","3,62"
"80113.0","Lech","90,02","1.585","1.388,89","8,88"
"80114.0","Lorüns","8,35","292.0","134,77","2,75"
"80115.0","Ludesch","11,28","3.597","231,64","10,62"
"80116.0","Nenzing","110,16","6.193","196,18","4,18"
"80117.0","Nüziders","22,08","4.98","273,55","11,25"
"80118.0","Raggal","41,59","862.0","111,60","3,17"
"80119.0","St. Anton im Montafon","3,39","693.0","207,82","8,15"
"80120.0","St. Gallenkirch","128,06","2.217","180,70","5,45"
"80121.0","St. Gerold","12,58","408.0","180,09","3,10"
"80122.0","Schruns","18,07","3.91","300,00","4,53"
"80123.0","Silbertal","88,71","843.0","127,69","1,77"
"80124.0","Sonntag","81,64","647.0","110,00","2,46"
"80125.0","Stallehr","1,64","275.0","146,00","6,48"
"80126.0","Thüringen","5,67","2.209","249,20","6,89"
"80127.0","Thüringerberg","10,41","724.0","200,78","12,13"
"80128.0","Tschagguns","57,59","2.197","186,00","2,46"
"80129.0","Vandans","53,79","2.682","192,24","2,28"
"","","","","",""
"","","","","",""
