"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"40401.0","Altheim","22,67","4.989","46,89","13,33"
"40402.0","Aspach","31,48","2.616","43,88","9,44"
"40403.0","Auerbach","10,79","640.0","74,00","4,53"
"40404.0","Braunau am Inn","24,86","17.493","107,63","10,00"
"40405.0","Burgkirchen","45,92","2.689","46,23","3,48"
"40406.0","Eggelsberg","24,13","2.462","72,00","9,22"
"40407.0","Feldkirchen bei Mattighofen","34,66","2.01","60,71","4,12"
"40408.0","Franking","10,46","1.007","71,04","8,68"
"40409.0","Geretsberg","37,45","1.173","50,20","3,17"
"40410.0","Gilgenberg am Weilhart","26,63","1.351","40,00","4,02"
"40411.0","Haigermoos","7,44","630.0","78,04","5,00"
"40412.0","Handenberg","27,61","1.301","51,60","4,22"
"40413.0","Helpfau-Uttendorf","26,35","3.71","42,00","3,67"
"40414.0","Hochburg-Ach","40,11","3.263","90,00","4,88"
"40415.0","Höhnhart","21,97","1.44","42,51","6,11"
"40416.0","Jeging","6,59","702.0","69,94","6,18"
"40417.0","Kirchberg bei Mattighofen","15,75","1.193","84,41","4,13"
"40418.0","Lengau","58,19","4.809","60,46","5,44"
"40419.0","Lochen am See","33,30","2.808","91,91","4,13"
"40420.0","Maria Schmolln","34,49","1.411","45,00","4,24"
"40421.0","Mattighofen","5,15","6.924","79,05","10,00"
"40422.0","Mauerkirchen","3,08","2.531","53,10","26,07"
"40423.0","Mining","16,56","1.255","40,75","4,05"
"40424.0","Moosbach","19,07","1.067","40,73","6,32"
"40425.0","Moosdorf","15,73","1.69","68,13","7,93"
"40426.0","Munderfing","31,06","3.068","55,11","5,89"
"40427.0","Neukirchen an der Enknach","33,20","2.288","46,38","4,89"
"40428.0","Ostermiething","21,84","3.277","70,83","4,68"
"40429.0","Palting","11,51","967.0","116,28","4,88"
"40430.0","Perwang am Grabensee","6,82","1.04","115,42","5,18"
"40431.0","Pfaffstätt","9,21","1.156","65,90","3,86"
"40432.0","Pischelsdorf am Engelbach","32,84","1.7","50,02","4,38"
"40433.0","Polling im Innkreis","15,11","997.0","39,15","8,00"
"40434.0","Roßbach","14,90","908.0","38,82","13,59"
"40435.0","St. Georgen am Fillmannsbach","7,20","419.0","44,56","12,06"
"40436.0","St. Johann am Walde","40,03","2.039","42,00","3,62"
"40437.0","St. Pantaleon","18,33","3.161","74,84","4,91"
"40438.0","St. Peter am Hart","22,86","2.403","72,56","3,69"
"40439.0","St. Radegund","17,89","590.0","80,00","6,34"
"40440.0","St. Veit im Innkreis","5,37","405.0","54,63","19,22"
"40441.0","Schalchen","41,13","3.986","60,00","3,75"
"40442.0","Schwand im Innkreis","17,11","994.0","42,50","6,36"
"40443.0","Tarsdorf","32,33","2.055","67,50","4,88"
"40444.0","Treubach","13,06","723.0","45,40","7,41"
"40445.0","Überackern","27,10","684.0","59,04","3,70"
"40446.0","Weng im Innkreis","21,35","1.374","37,63","6,48"
"Datenquelle: IMMOunited GmbH","","","","",""
