"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"80201.0","Alberschwende","21,13","3.24","194,18","3,12"
"80202.0","Andelsbuch","19,58","2.639","189,60","2,24"
"80203.0","Au","44,96","1.767","234,32","7,98"
"80204.0","Bezau","34,43","2.003","210,67","9,92"
"80205.0","Bildstein","9,14","780.0","322,58","2,66"
"80206.0","Bizau","21,10","1.124","150,07","2,11"
"80207.0","Bregenz","30,01","29.697","528,29","2,02"
"80208.0","Buch","6,14","600.0","160,00","2,38"
"80209.0","Damüls","20,91","313.0","184,14","8,29"
"80210.0","Doren","14,18","1.028","131,53","3,83"
"80211.0","Egg","65,36","3.601","193,57","2,87"
"80212.0","Eichenberg","11,60","417.0","303,54","3,07"
"80213.0","Fußach","11,93","3.921","263,37","5,89"
"80214.0","Gaißau","5,80","1.835","232,36","16,16"
"80215.0","Hard","17,85","13.648","379,54","10,87"
"80216.0","Hittisau","46,69","2.059","150,00","2,18"
"80217.0","Höchst","21,02","8.116","325,43","10,23"
"80218.0","Hörbranz","8,74","6.508","311,21","6,36"
"80219.0","Hohenweiler","8,43","1.32","285,05","2,46"
"80220.0","Kennelbach","3,22","1.942","320,04","2,33"
"80221.0","Krumbach","8,71","1.041","141,86","5,31"
"80222.0","Langen bei Bregenz","21,86","1.438","160,00","2,86"
"80223.0","Langenegg","10,46","1.131","121,61","2,74"
"80224.0","Lauterach","11,91","10.271","404,35","7,63"
"80225.0","Lingenau","6,88","1.537","165,69","7,15"
"80226.0","Lochau","10,26","6.018","471,37","3,68"
"80227.0","Mellau","40,58","1.29","207,51","2,56"
"80228.0","Mittelberg","96,88","4.989","201,06","2,59"
"80229.0","Möggers","11,43","513.0","116,02","4,53"
"80230.0","Reuthe","10,22","663.0","129,62","2,56"
"80231.0","Riefensberg","14,85","1.064","182,12","7,30"
"80232.0","Schnepfau","16,53","459.0","120,00","2,25"
"80233.0","Schoppernau","47,63","947.0","206,80","2,51"
"80234.0","Schröcken","23,45","208.0","160,08","2,94"
"80235.0","Schwarzach","4,91","3.939","493,36","4,16"
"80236.0","Schwarzenberg","25,79","1.819","203,22","2,47"
"80237.0","Sibratsgfäll","29,27","422.0","117,92","2,03"
"80238.0","Sulzberg","23,05","1.832","244,61","2,64"
"80239.0","Warth","19,32","167.0","337,50","8,48"
"80240.0","Wolfurt","10,00","8.566","414,54","5,27"
"","","","","",""
"","","","","",""
