"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"62105.0","Breitenau am Hochlantsch","62,45","1.66","38,61","1,66"
"62115.0","Krieglach","93,81","5.364","53,93","2,39"
"62116.0","Langenwang","75,98","3.89","56,63","2,48"
"62125.0","Pernegg an der Mur","86,05","2.357","46,41","5,27"
"62128.0","Sankt Lorenzen im Mürztal","38,05","3.655","84,45","1,94"
"62131.0","Spital am Semmering","73,18","1.439","42,96","3,46"
"62132.0","Stanz im Mürztal","76,79","1.848","35,94","2,88"
"62135.0","Turnau","134,29","1.605","39,77","3,67"
"62138.0","Aflenz","55,10","2.445","47,18","2,42"
"62139.0","Bruck an der Mur","85,34","15.8","67,51","2,95"
"62140.0","Kapfenberg","82,09","22.704","51,44","4,29"
"62141.0","Kindberg","90,59","8.197","52,94","3,65"
"62142.0","Mariazell","413,86","3.687","51,70","4,99"
"62143.0","Mürzzuschlag","51,36","8.356","54,36","3,12"
"62144.0","Neuberg an der Mürz","274,78","2.385","36,59","3,63"
"62145.0","Sankt Barbara im Mürztal","112,55","6.607","42,00","4,08"
"62146.0","Sankt Marein im Mürztal","29,44","2.684","60,00","4,35"
"62147.0","Thörl","166,58","2.265","36,34","5,58"
"62148.0","Tragöß-Sankt Katharein","154,05","1.849","45,54","2,15"
"","","","","",""
"","","","","",""
