"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"30701.0","Au am Leithaberge","16,74","938.0","66,25","2,11"
"30702.0","Bad Deutsch-Altenburg","12,58","1.786","114,08","3,38"
"30703.0","Berg","9,44","901.0","132,44","3,15"
"30704.0","Bruck an der Leitha","23,69","8.007","150,99","6,09"
"30706.0","Enzersdorf an der Fischa","31,48","3.308","105,10","6,58"
"30708.0","Göttlesbrunn-Arbesthal","26,26","1.449","116,91","4,02"
"30709.0","Götzendorf an der Leitha","25,41","2.07","101,13","3,17"
"30710.0","Hainburg a.d. Donau","25,02","6.818","112,50","3,68"
"30711.0","Haslau-Maria Ellend","24,83","2.0","150,59","3,27"
"30712.0","Höflein","22,38","1.249","82,21","3,94"
"30713.0","Hof am Leithaberge","22,06","1.557","81,97","3,22"
"30715.0","Hundsheim","13,46","628.0","69,88","1,74"
"30716.0","Mannersdorf am Leithagebirge","29,94","4.142","113,98","3,58"
"30718.0","Petronell-Carnuntum","25,38","1.255","85,24","2,74"
"30719.0","Prellenkirchen","41,56","1.63","86,59","2,56"
"30721.0","Rohrau","20,51","1.615","80,04","3,17"
"30722.0","Scharndorf","25,83","1.178","86,04","3,49"
"30724.0","Sommerein","41,44","2.052","102,00","4,42"
"30726.0","Trautmannsdorf an der Leitha","35,45","2.982","87,60","3,89"
"30728.0","Wolfsthal","21,88","1.148","142,63","2,75"
"30729.0","Ebergassing","16,27","3.95","112,42","4,36"
"30730.0","Fischamend","25,05","5.61","156,00","5,67"
"30731.0","Gramatneusiedl","6,76","3.591","189,57","4,62"
"30732.0","Himberg","47,64","7.414","298,71","7,49"
"30733.0","Klein-Neusiedl","5,97","895.0","205,58","7,88"
"30734.0","Lanzendorf","4,54","1.922","255,00","4,13"
"30735.0","Leopoldsdorf","7,00","5.219","351,49","15,40"
"30736.0","Maria-Lanzendorf","1,69","2.201","298,71","keine Angabe"
"30737.0","Moosbrunn","16,88","1.775","146,25","2,23"
"30738.0","Rauchenwarth","13,50","769.0","151,64","8,00"
"30739.0","Schwadorf","11,39","2.207","135,00","5,59"
"30740.0","Schwechat","44,86","19.424","293,82","13,59"
"30741.0","Zwölfaxing","6,76","1.746","241,61","4,09"
"","","","","",""
"","","","","",""
