"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"10301.0","Breitenbrunn am Neusiedler See","25,74","1.884","176,93","2,32"
"10302.0","Donnerskirchen","33,94","1.838","86,30","2,54"
"10303.0","Großhöflein","14,26","2.106","127,25","2,21"
"10304.0","Hornstein","37,06","3.109","93,73","2,72"
"10305.0","Klingenbach","4,82","1.156","55,94","1,16"
"10306.0","Leithaprodersdorf","18,95","1.205","73,97","3,26"
"10307.0","Mörbisch am See","28,03","2.203","60,63","1,33"
"10308.0","Müllendorf","12,79","1.393","115,53","1,81"
"10309.0","Neufeld an der Leitha","4,29","3.477","142,62","2,58"
"10310.0","Oggau am Neusiedler See","52,12","1.751","55,65","2,17"
"10311.0","Oslip","17,82","1.254","56,25","1,82"
"10312.0","Purbach am Neusiedler See","45,78","2.88","81,85","2,13"
"10313.0","Sankt Margarethen im Burgenland","26,53","2.664","79,45","1,45"
"10314.0","Schützen am Gebirge","21,19","1.411","34,17","1,23"
"10315.0","Siegendorf","23,05","3.078","79,31","1,64"
"10316.0","Steinbrunn","15,35","2.738","98,71","2,51"
"10317.0","Trausdorf an der Wulka","15,44","2.063","88,14","1,44"
"10318.0","Wimpassing an der Leitha","7,91","1.675","109,75","1,81"
"10319.0","Wulkaprodersdorf","12,22","1.978","77,53","2,42"
"10320.0","Loretto","2,38","486.0","71,03","8,17"
"10321.0","Stotzing","12,90","814.0","65,43","1,67"
"10322.0","Zillingtal","13,10","960.0","70,51","2,36"
"10323.0","Zagersdorf","7,30","1.078","67,83","2,00"
"","","","","",""
"","","","","",""
