"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"80401.0","Altach","5,36","6.766","308,82","9,66"
"80402.0","Düns","3,45","410.0","177,80","3,52"
"80403.0","Dünserberg","5,56","141.0","220,00","19,46"
"80404.0","Feldkirch","34,35","34.147","346,62","6,20"
"80405.0","Frastanz","32,28","6.495","250,00","2,44"
"80406.0","Fraxern","8,87","712.0","210,69","2,79"
"80407.0","Göfis","9,06","3.333","322,43","5,00"
"80408.0","Götzis","14,63","11.765","351,21","4,82"
"80409.0","Klaus","5,25","3.089","356,16","3,45"
"80410.0","Koblach","10,25","4.696","282,05","4,82"
"80411.0","Laterns","43,77","669.0","122,26","1,99"
"80412.0","Mäder","3,24","4.084","273,44","10,78"
"80413.0","Meiningen","5,37","2.305","273,90","9,86"
"80414.0","Rankweil","21,87","11.901","344,38","10,43"
"80415.0","Röns","1,45","344.0","184,79","4,25"
"80416.0","Röthis","2,73","2.093","353,29","4,53"
"80417.0","Satteins","12,71","2.743","241,27","3,44"
"80418.0","Schlins","6,03","2.458","245,77","7,13"
"80419.0","Schnifis","4,87","790.0","150,00","5,30"
"80420.0","Sulz","3,02","2.586","336,20","13,35"
"80421.0","Übersaxen","5,76","617.0","192,51","3,91"
"80422.0","Viktorsberg","12,50","412.0","228,73","4,24"
"80423.0","Weiler","3,08","2.117","287,50","9,06"
"80424.0","Zwischenwasser","22,62","3.271","275,04","3,60"
"","","","","",""
"","","","","",""
