"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"60608.0","Feldkirchen bei Graz","11,58","6.698","138,92","9,87"
"60611.0","Gössendorf","7,21","4.107","137,65","11,09"
"60613.0","Gratkorn","34,63","8.056","149,47","3,00"
"60617.0","Hart bei Graz","11,06","5.193","151,41","3,64"
"60618.0","Haselsdorf-Tobelbad","6,68","1.515","125,57","3,93"
"60619.0","Hausmannstätten","6,79","3.485","131,34","6,09"
"60623.0","Kainbach bei Graz","17,83","2.821","149,50","3,00"
"60624.0","Kalsdorf bei Graz","15,17","7.417","128,21","6,07"
"60626.0","Kumberg","29,43","3.836","134,98","2,96"
"60628.0","Laßnitzhöhe","14,88","2.761","145,76","1,81"
"60629.0","Lieboch","11,73","5.207","135,52","3,14"
"60632.0","Peggau","11,26","2.334","115,45","2,47"
"60639.0","Sankt Bartholomä","11,73","1.44","155,63","2,33"
"60641.0","Sankt Oswald bei Plankenwarth","11,82","1.273","139,45","3,13"
"60642.0","Sankt Radegund bei Graz","21,57","2.148","121,17","2,58"
"60645.0","Semriach","60,38","3.291","248,15","2,73"
"60646.0","Stattegg","25,84","2.937","183,61","2,18"
"60647.0","Stiwoll","13,01","709.0","155,31","1,38"
"60648.0","Thal","18,52","2.28","146,71","3,63"
"60651.0","Übelbach","94,70","2.032","126,57","2,62"
"60653.0","Vasoldsberg","28,10","4.598","115,23","2,52"
"60654.0","Weinitzen","19,00","2.667","135,05","3,63"
"60655.0","Werndorf","6,24","2.358","190,63","6,79"
"60656.0","Wundschuh","12,90","1.635","111,30","8,83"
"60659.0","Deutschfeistritz","57,09","4.38","190,00","2,21"
"60660.0","Dobl-Zwaring","37,86","3.525","127,33","4,53"
"60661.0","Eggersdorf bei Graz","49,39","6.815","132,61","2,51"
"60662.0","Fernitz-Mellach","20,52","4.863","125,97","2,80"
"60663.0","Frohnleiten","153,95","6.545","137,54","4,50"
"60664.0","Gratwein-Straßengel","86,75","12.805","139,32","2,64"
"60665.0","Hitzendorf","48,92","7.236","118,25","3,29"
"60666.0","Nestelbach bei Graz","27,37","2.634","170,25","2,66"
"60667.0","Raaba-Grambach","14,64","4.665","135,00","2,43"
"60668.0","Sankt Marein bei Graz","41,74","3.751","125,49","2,71"
"60669.0","Seiersberg-Pirka","17,37","11.391","176,62","6,15"
"60670.0","Premstätten","29,28","6.327","139,42","9,03"
"","","","","",""
"","","","","",""
