"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"30801.0","Aderklaa","8,63","198.0","145,73","4,53"
"30802.0","Andlersdorf","5,90","151.0","120,00","6,33"
"30803.0","Angern an der March","38,24","3.425","37,63","1,81"
"30804.0","Auersthal","15,25","1.932","75,38","2,56"
"30805.0","Bad Pirawarth","25,46","1.67","70,01","1,72"
"30808.0","Deutsch-Wagram","30,63","8.917","224,08","6,53"
"30810.0","Drösing","29,44","1.129","41,83","2,05"
"30811.0","Dürnkrut","30,39","2.234","51,42","2,05"
"30812.0","Ebenthal","18,16","895.0","49,54","11,31"
"30813.0","Eckartsau","49,00","1.293","45,85","5,54"
"30814.0","Engelhartstetten","65,67","2.086","63,30","6,03"
"30817.0","Gänserndorf","30,59","11.64","104,93","8,02"
"30819.0","Glinzendorf","10,44","309.0","163,68","5,43"
"30821.0","Groß-Enzersdorf","83,93","11.614","199,43","6,54"
"30822.0","Großhofen","6,19","109.0","58,16","6,00"
"30824.0","Groß-Schweinbarth","25,02","1.283","66,94","1,81"
"30825.0","Haringsee","27,12","1.186","59,59","7,81"
"30826.0","Hauskirchen","22,09","1.262","36,74","1,78"
"30827.0","Hohenau an der March","23,41","2.706","69,74","2,23"
"30828.0","Hohenruppersdorf","21,43","927.0","50,00","3,26"
"30829.0","Jedenspeigen","23,19","1.092","58,37","2,53"
"30830.0","Lassee","55,66","2.865","60,71","4,50"
"30831.0","Leopoldsdorf im Marchfelde","28,97","2.926","130,90","8,16"
"30834.0","Mannsdorf an der Donau","10,32","400.0","72,71","4,11"
"30835.0","Marchegg","45,60","2.984","64,76","3,87"
"30836.0","Markgrafneusiedl","19,83","900.0","129,10","18,12"
"30838.0","Matzen-Raggendorf","35,78","2.784","74,81","1,93"
"30841.0","Neusiedl an der Zaya","17,61","1.247","31,92","1,53"
"30842.0","Obersiebenbrunn","26,93","1.688","94,53","5,12"
"30844.0","Orth an der Donau","33,51","2.16","110,06","4,28"
"30845.0","Palterndorf-Dobermannsdorf","18,66","1.339","139,71","8,85"
"30846.0","Parbasdorf","10,23","164.0","138,45","4,72"
"30848.0","Prottes","13,82","1.468","61,82","1,85"
"30849.0","Raasdorf","13,21","639.0","102,71","5,73"
"30850.0","Ringelsdorf-Niederabsdorf","32,45","1.234","39,96","1,94"
"30852.0","Schönkirchen-Reyersdorf","17,90","1.977","61,88","5,57"
"30854.0","Spannberg","19,61","1.002","49,65","7,33"
"30856.0","Strasshof an der Nordbahn","11,69","10.73","143,61","9,55"
"30857.0","Sulz im Weinviertel","31,39","1.207","54,73","2,76"
"30858.0","Untersiebenbrunn","30,52","1.751","83,85","8,64"
"30859.0","Velm-Götzendorf","17,74","774.0","47,99","2,65"
"30860.0","Weikendorf","46,32","2.028","57,07","2,72"
"30863.0","Zistersdorf","88,78","5.401","40,16","2,06"
"30865.0","Weiden an der March","55,89","991.0","50,59","7,19"
"","","","","",""
"","","","","",""
