"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"10401.0","Bocksdorf","9,99","805.0","17,38","1,81"
"10402.0","Burgauberg-Neudauberg","10,92","1.326","27,11","4,53"
"10403.0","Eberau","30,74","943.0","30,60","1,89"
"10404.0","Gerersdorf-Sulz","21,63","994.0","18,19","1,17"
"10405.0","Güssing","49,31","3.675","28,80","1,56"
"10406.0","Güttenbach","15,90","888.0","keine Angabe","1,27"
"10407.0","Heiligenbrunn","33,51","758.0","keine Angabe","1,25"
"10408.0","Kukmirn","40,50","1.992","20,88","1,62"
"10409.0","Neuberg im Burgenland","17,61","972.0","keine Angabe","2,15"
"10410.0","Neustift bei Güssing","11,44","462.0","keine Angabe","1,39"
"10411.0","Olbendorf","17,38","1.442","18,83","1,33"
"10412.0","Ollersdorf im Burgenland","8,86","935.0","24,93","1,38"
"10413.0","Sankt Michael im Burgenland","18,37","979.0","22,66","1,47"
"10414.0","Stegersbach","17,77","2.672","28,04","2,04"
"10415.0","Stinatz","9,50","1.187","22,41","1,48"
"10416.0","Strem","23,78","879.0","keine Angabe","1,69"
"10417.0","Tobaj","58,14","1.367","21,24","1,50"
"10418.0","Hackerberg","3,87","367.0","keine Angabe","2,42"
"10419.0","Wörterberg","4,77","486.0","25,28","1,53"
"10420.0","Großmürbisch","7,92","239.0","60,50","1,19"
"10421.0","Inzenhof","5,97","317.0","108,96","1,47"
"10422.0","Kleinmürbisch","4,29","231.0","keine Angabe","1,43"
"10423.0","Tschanigraben","1,71","63.0","keine Angabe","2,56"
"10424.0","Heugraben","6,47","231.0","keine Angabe","3,96"
"10425.0","Rohr im Burgenland","8,38","373.0","15,18","1,11"
"10426.0","Bildein","15,91","349.0","26,91","1,27"
"10427.0","Rauchwart","17,51","441.0","105,76","1,23"
"10428.0","Moschendorf","13,18","394.0","keine Angabe","1,54"
"","","","","",""
"","","","","",""
