"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"62202.0","Bad Blumau","37,38","1.614","28,01","2,72"
"62205.0","Buch-St. Magdalena","26,42","2.15","25,99","2,81"
"62206.0","Burgau","20,01","1.05","28,48","2,52"
"62209.0","Ebersdorf","17,30","1.288","28,00","4,13"
"62211.0","Friedberg","25,89","2.633","31,81","10,33"
"62214.0","Greinbach","23,39","1.814","29,46","2,65"
"62216.0","Großsteinbach","21,26","1.268","48,22","2,66"
"62219.0","Hartberg","21,59","6.771","50,20","3,56"
"62220.0","Hartberg Umgebung","30,45","2.179","42,93","2,97"
"62226.0","Lafnitz","15,62","1.449","27,92","4,53"
"62232.0","Ottendorf an der Rittschein","14,28","1.541","22,64","7,42"
"62233.0","Pinggau","59,14","3.15","31,80","2,27"
"62235.0","Pöllauberg","33,98","2.042","29,00","2,44"
"62242.0","Sankt Jakob im Walde","30,32","1.047","28,77","3,34"
"62244.0","Sankt Johann in der Haide","23,58","2.189","26,40","2,05"
"62245.0","Sankt Lorenzen am Wechsel","48,57","1.458","32,56","2,24"
"62247.0","Schäffern","32,39","1.349","27,08","3,57"
"62252.0","Söchau","18,20","1.46","32,84","2,25"
"62256.0","Stubenberg","32,66","2.212","34,91","1,94"
"62262.0","Wenigzell","35,71","1.392","30,00","3,77"
"62264.0","Bad Waltersdorf","52,29","3.831","37,00","2,26"
"62265.0","Dechantskirchen","29,12","2.018","30,00","3,62"
"62266.0","Feistritztal","25,72","2.405","25,54","3,70"
"62267.0","Fürstenfeld","50,45","8.653","38,71","4,12"
"62268.0","Grafendorf bei Hartberg","45,73","3.145","25,28","6,57"
"62269.0","Großwilfersdorf","38,44","2.071","34,79","3,70"
"62270.0","Hartl","33,84","2.105","28,13","3,02"
"62271.0","Ilz","39,32","3.775","31,69","5,02"
"62272.0","Kaindorf","28,02","3.004","28,17","4,00"
"62273.0","Bad Loipersdorf","25,03","1.848","27,56","2,19"
"62274.0","Neudau","13,69","1.507","58,94","4,84"
"62275.0","Pöllau","88,93","5.934","43,82","6,26"
"62276.0","Rohr bei Hartberg","27,76","1.451","23,65","1,47"
"62277.0","Rohrbach an der Lafnitz","26,57","2.644","32,59","8,19"
"62278.0","Vorau","81,34","4.702","27,95","5,68"
"62279.0","Waldbach-Mönichwald","54,01","1.471","34,40","2,86"
"","","","","",""
"","","","","",""
