"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31001.0","Alberndorf im Pulkautal","9,88","747.0","39,35","1,52"
"31008.0","Göllersdorf","59,67","3.074","59,57","3,16"
"31009.0","Grabern","30,95","1.696","26,31","8,70"
"31014.0","Guntersdorf","28,42","1.142","33,00","3,40"
"31015.0","Hadres","34,48","1.706","47,22","1,78"
"31016.0","Hardegg","93,22","1.31","29,07","2,19"
"31018.0","Haugsdorf","21,25","1.553","26,85","1,90"
"31019.0","Heldenberg","27,48","1.348","35,41","2,26"
"31021.0","Hohenwarth-Mühlbach a.M.","43,55","1.314","25,10","3,47"
"31022.0","Hollabrunn","152,48","11.852","74,18","2,62"
"31025.0","Mailberg","15,73","570.0","67,70","3,82"
"31026.0","Maissau","43,11","1.945","34,48","2,59"
"31028.0","Nappersdorf-Kammersdorf","38,87","1.213","keine Angabe","3,12"
"31033.0","Pernersdorf","25,83","1.022","32,81","1,77"
"31035.0","Pulkau","36,73","1.55","26,75","1,81"
"31036.0","Ravelsbach","26,35","1.587","29,07","3,17"
"31037.0","Retz","45,11","4.24","55,03","1,81"
"31038.0","Retzbach","18,07","1.018","36,98","3,39"
"31041.0","Schrattenthal","22,42","873.0","39,49","1,90"
"31042.0","Seefeld-Kadolz","21,85","944.0","61,78","2,58"
"31043.0","Sitzendorf an der Schmida","61,85","2.139","25,15","2,95"
"31051.0","Wullersdorf","63,91","2.362","31,05","3,62"
"31052.0","Zellerndorf","41,16","2.423","50,99","2,82"
"31053.0","Ziersdorf","48,70","3.399","42,00","1,91"
"","","","","",""
"","","","","",""
