"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31101.0","Altenburg","28,11","815.0","27,99","1,67"
"31102.0","Brunn an der Wild","32,02","838.0","25,41","2,28"
"31103.0","Burgschleinitz-Kühnring","41,87","1.339","22,89","5,34"
"31104.0","Drosendorf-Zissersdorf","53,38","1.198","28,62","2,63"
"31105.0","Eggenburg","23,55","3.507","37,63","3,70"
"31106.0","Gars am Kamp","50,43","3.49","49,11","2,05"
"31107.0","Geras","67,64","1.278","26,13","2,16"
"31109.0","Horn","39,27","6.418","60,03","3,06"
"31110.0","Irnfritz-Messern","56,00","1.445","33,52","1,89"
"31111.0","Japons","29,38","716.0","keine Angabe","2,68"
"31113.0","Langau","22,20","674.0","keine Angabe","2,66"
"31114.0","Meiseldorf","35,45","874.0","keine Angabe","3,09"
"31117.0","Pernegg","36,61","702.0","46,78","3,39"
"31119.0","Röhrenbach","25,12","529.0","keine Angabe","2,49"
"31120.0","Röschitz","21,18","1.061","37,51","5,18"
"31121.0","Rosenburg-Mold","30,68","842.0","32,06","5,00"
"31123.0","St. Bernhard-Frauenhofen","29,45","1.295","33,50","2,73"
"31124.0","Sigmundsherberg","47,97","1.633","32,38","2,65"
"31129.0","Weitersfeld","87,14","1.552","26,05","2,81"
"31130.0","Straning-Grafenberg","26,46","729.0","25,01","2,82"
"","","","","",""
"","","","","",""
