"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"70301.0","Absam","51,91","7.298","648,00","17,22"
"70302.0","Aldrans","8,86","2.719","520,41","3,80"
"70303.0","Ampass","7,96","1.831","364,83","18,54"
"70304.0","Axams","22,18","6.05","476,05","10,63"
"70305.0","Baumkirchen","4,03","1.267","448,51","16,02"
"70306.0","Birgitz","4,79","1.485","527,20","11,67"
"70307.0","Ellbögen","34,50","1.126","180,00","5,81"
"70308.0","Flaurling","19,63","1.311","231,50","8,90"
"70309.0","Fritzens","6,12","2.169","313,44","9,93"
"70310.0","Fulpmes","16,77","4.455","286,24","13,83"
"70311.0","Gnadenwald","11,49","816.0","335,69","4,92"
"70312.0","Götzens","9,73","4.076","559,00","14,73"
"70313.0","Gries am Brenner","55,69","1.323","141,56","4,26"
"70314.0","Gries im Sellrain","22,64","619.0","135,01","13,69"
"70315.0","Grinzens","28,71","1.406","306,38","9,47"
"70317.0","Gschnitz","59,22","441.0","200,00","13,59"
"70318.0","Hatting","7,09","1.469","288,00","9,17"
"70319.0","Inzing","19,39","3.951","403,16","2,98"
"70320.0","Kematen in Tirol","6,99","2.944","416,95","33,77"
"70322.0","Kolsass","3,34","1.633","489,02","28,99"
"70323.0","Kolsassberg","35,39","818.0","181,04","5,97"
"70325.0","Lans","6,28","1.091","673,29","18,33"
"70326.0","Leutasch","102,94","2.396","224,28","6,26"
"70327.0","Matrei am Brenner","0,36","936.0","256,01","43,03"
"70328.0","Mieders","16,54","1.871","298,91","4,53"
"70329.0","Mils","6,92","4.495","619,53","13,19"
"70330.0","Mühlbachl","28,85","1.429","134,68","1,85"
"70331.0","Mutters","19,03","2.23","241,88","18,12"
"70332.0","Natters","7,33","2.076","501,09","15,11"
"70333.0","Navis","64,15","2.043","142,50","24,37"
"70334.0","Neustift im Stubaital","249,03","4.807","334,78","13,59"
"70335.0","Oberhofen im Inntal","18,59","1.86","254,75","7,01"
"70336.0","Obernberg am Brenner","38,71","367.0","keine Angabe","35,68"
"70337.0","Oberperfuss","15,27","3.105","275,74","22,17"
"70338.0","Patsch","9,71","1.051","476,29","8,58"
"70339.0","Pettnau","10,77","1.057","171,55","20,52"
"70340.0","Pfaffenhofen","7,00","1.14","144,82","11,78"
"70341.0","Pfons","21,70","1.235","230,24","20,24"
"70342.0","Polling in Tirol","4,96","1.235","217,03","9,40"
"70343.0","Ranggen","6,97","1.105","266,85","15,40"
"70344.0","Reith bei Seefeld","20,90","1.384","266,38","3,52"
"70345.0","Rinn","10,69","1.937","300,00","19,16"
"70346.0","Rum","8,56","9.265","628,22","1,95"
"70347.0","St. Sigmund im Sellrain","102,32","175.0","keine Angabe","9,06"
"70348.0","Scharnitz","159,40","1.352","197,24","6,20"
"70349.0","Schmirn","62,62","870.0","129,87","34,20"
"70350.0","Schönberg im Stubaital","7,46","1.111","306,09","3,62"
"70351.0","Seefeld in Tirol","17,38","3.457","466,60","6,55"
"70352.0","Sellrain","61,97","1.324","150,07","2,72"
"70353.0","Sistrans","7,92","2.25","537,96","11,59"
"70354.0","Hall in Tirol","5,51","14.106","519,59","30,85"
"70355.0","Steinach am Brenner","28,06","3.634","223,45","9,96"
"70356.0","Telfes im Stubai","27,38","1.595","309,57","6,34"
"70357.0","Telfs","45,49","15.985","286,73","16,15"
"70358.0","Thaur","21,05","4.055","451,24","3,70"
"70359.0","Trins","48,81","1.319","210,41","3,34"
"70360.0","Tulfes","27,72","1.644","296,27","9,92"
"70361.0","Unterperfuss","2,24","224.0","310,39","10,44"
"70362.0","Vals","48,74","529.0","keine Angabe","16,42"
"70364.0","Völs","5,63","6.95","453,07","3,01"
"70365.0","Volders","32,15","4.457","409,18","5,89"
"70366.0","Wattenberg","67,91","743.0","194,80","3,64"
"70367.0","Wattens","10,84","8.031","523,26","1,70"
"70368.0","Wildermieming","31,19","965.0","185,09","8,18"
"70369.0","Zirl","57,20","8.13","492,51","13,08"
"","","","","",""
"","","","","",""
