"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"20402.0","Ebenthal in Kärnten","55,02","8.039","68,93","3,11"
"20403.0","Feistritz im Rosental","71,87","2.486","37,13","2,72"
"20405.0","Ferlach","117,36","7.139","55,01","2,86"
"20409.0","Grafenstein","50,22","2.971","48,64","4,35"
"20412.0","Keutschach am See","28,37","2.447","90,18","1,81"
"20414.0","Köttmannsdorf","28,21","3.06","63,18","4,61"
"20415.0","Krumpendorf am Wörthersee","11,86","3.441","194,97","5,85"
"20416.0","Ludmannsdorf","26,38","1.778","44,59","3,24"
"20417.0","Maria Rain","25,53","2.567","64,97","2,04"
"20418.0","Maria Saal","34,86","3.872","87,00","4,94"
"20419.0","Maria Wörth","17,41","1.619","123,35","1,83"
"20421.0","Moosburg","36,77","4.462","68,49","3,02"
"20424.0","Pörtschach am Wörther See","12,64","2.89","154,97","2,51"
"20425.0","Poggersdorf","30,76","3.199","51,70","5,22"
"20428.0","St. Margareten im Rosental","43,99","1.089","33,43","4,31"
"20432.0","Schiefling am Wörthersee","28,63","2.641","54,25","3,13"
"20435.0","Techelsberg am Wörther See","28,38","2.199","55,31","3,37"
"20441.0","Zell","75,59","608.0","32,70","1,54"
"20442.0","Magdalensberg","42,90","3.522","51,91","3,19"
"","","","","",""
"","","","","",""
