"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31201.0","Bisamberg","10,77","4.803","358,38","4,88"
"31202.0","Enzersfeld im Weinviertel","9,86","1.753","232,54","3,64"
"31203.0","Ernstbrunn","80,75","3.264","69,19","2,67"
"31204.0","Großmugl","64,49","1.605","61,31","2,42"
"31205.0","Großrußbach","32,77","2.213","96,64","3,00"
"31206.0","Hagenbrunn","13,51","2.276","318,71","5,83"
"31207.0","Harmannsdorf","55,61","4.033","159,16","3,41"
"31208.0","Hausleiten","61,17","3.777","97,10","4,53"
"31213.0","Korneuburg","9,77","13.37","365,46","4,46"
"31214.0","Langenzersdorf","10,68","8.055","304,02","5,73"
"31215.0","Leitzersdorf","27,90","1.196","106,87","3,80"
"31216.0","Leobendorf","29,96","4.884","232,17","3,20"
"31224.0","Rußbach","30,71","1.413","61,88","2,59"
"31226.0","Sierndorf","55,12","3.971","94,49","4,71"
"31227.0","Spillern","12,71","2.428","192,41","3,32"
"31228.0","Stetteldorf am Wagram","25,74","1.059","60,23","4,30"
"31229.0","Stetten","7,75","1.369","181,97","4,43"
"31230.0","Stockerau","37,46","16.857","200,00","3,93"
"31234.0","Niederhollabrunn","50,38","1.553","88,58","2,75"
"31235.0","Gerasdorf bei Wien","35,26","11.375","299,40","4,87"
"","","","","",""
"","","","","",""
