"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31301.0","Aggsbach","13,71","637.0","52,29","2,95"
"31302.0","Albrechtsberg an der Großen Krems","28,73","1.027","keine Angabe","3,68"
"31303.0","Bergern im Dunkelsteinerwald","36,75","1.265","42,98","1,85"
"31304.0","Dürnstein","16,72","843.0","98,22","9,15"
"31308.0","Grafenegg","28,52","3.138","55,67","3,00"
"31309.0","Furth bei Göttweig","12,38","2.97","86,83","5,30"
"31310.0","Gedersdorf","18,84","2.167","43,63","4,53"
"31311.0","Gföhl","80,76","3.786","49,02","2,46"
"31315.0","Hadersdorf-Kammern","4,79","1.951","72,80","7,93"
"31319.0","Jaidhof","44,80","1.21","37,82","9,06"
"31321.0","Krumau am Kamp","26,88","752.0","53,71","1,56"
"31322.0","Langenlois","66,97","7.583","72,00","2,69"
"31323.0","Lengenfeld","14,92","1.376","59,70","2,18"
"31324.0","Lichtenau im Waldviertel","58,30","2.019","keine Angabe","3,94"
"31326.0","Maria Laach am Jauerling","36,37","917.0","36,58","1,32"
"31327.0","Mautern an der Donau","9,07","3.554","115,53","5,04"
"31330.0","Mühldorf","28,44","1.296","52,88","1,56"
"31333.0","Paudorf","30,23","2.572","70,09","3,62"
"31336.0","Rastenfeld","47,54","1.573","33,13","5,05"
"31337.0","Rohrendorf bei Krems","9,78","2.117","97,00","3,19"
"31338.0","Rossatz-Arnsdorf","39,23","1.057","76,50","3,28"
"31340.0","St. Leonhard am Hornerwald","51,42","1.115","keine Angabe","1,93"
"31343.0","Senftenberg","34,77","1.985","69,98","1,98"
"31344.0","Spitz","23,86","1.575","95,56","3,32"
"31346.0","Straß im Straßertale","22,49","1.715","53,12","2,50"
"31347.0","Stratzing","5,88","845.0","85,33","3,04"
"31350.0","Weinzierl am Walde","44,43","1.243","37,82","1,81"
"31351.0","Weißenkirchen in der Wachau","23,35","1.399","120,00","4,35"
"31355.0","Schönberg am Kamp","53,09","1.858","44,90","1,81"
"31356.0","Droß","10,26","1.028","66,89","3,70"
"","","","","",""
"","","","","",""
