"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"70501.0","Alpbach","58,39","2.531","225,64","9,33"
"70502.0","Angath","3,50","1.017","264,38","2,97"
"70503.0","Bad Häring","9,29","2.83","261,50","28,29"
"70504.0","Brandenberg","130,10","1.53","152,01","1,82"
"70505.0","Breitenbach am Inn","37,99","3.476","245,78","16,71"
"70506.0","Brixlegg","9,12","3.016","254,38","4,75"
"70508.0","Ebbs","40,00","5.634","239,53","14,14"
"70509.0","Ellmau","36,83","2.83","497,75","5,51"
"70510.0","Erl","26,93","1.564","151,15","11,47"
"70511.0","Kirchbichl","14,94","5.829","223,95","12,86"
"70512.0","Kramsach","26,87","4.976","252,23","19,72"
"70513.0","Kufstein","39,37","19.511","458,46","3,08"
"70514.0","Kundl","21,91","4.707","286,68","24,64"
"70515.0","Langkampfen","26,48","4.18","235,89","24,16"
"70516.0","Mariastein","2,39","442.0","177,66","19,65"
"70517.0","Münster","27,75","3.395","279,67","15,98"
"70518.0","Niederndorf","7,22","2.825","283,28","5,70"
"70519.0","Niederndorferberg","12,14","729.0","190,00","4,46"
"70520.0","Radfeld","14,33","2.555","274,25","22,38"
"70521.0","Rattenberg","0,11","444.0","keine Angabe","keine Angabe"
"70522.0","Reith im Alpbachtal","27,43","2.758","303,75","6,66"
"70523.0","Rettenschöss","16,25","543.0","175,68","5,97"
"70524.0","Scheffau am Wilden Kaiser","31,47","1.472","224,14","9,64"
"70525.0","Schwoich","18,75","2.56","232,04","9,60"
"70526.0","Söll","45,95","3.658","304,95","9,20"
"70527.0","Thiersee","108,63","3.017","162,43","19,93"
"70528.0","Angerberg","19,50","1.901","229,78","12,15"
"70529.0","Walchsee","39,24","1.935","275,87","16,90"
"70530.0","Wildschönau","97,37","4.272","178,82","7,62"
"70531.0","Wörgl","19,70","14.039","319,87","6,27"
"","","","","",""
"","","","","",""
