"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"61001.0","Allerheiligen bei Wildon","20,53","1.528","39,41","2,71"
"61002.0","Arnfels","4,20","984.0","29,45","3,50"
"61007.0","Empersdorf","14,24","1.418","40,36","3,93"
"61008.0","Gabersdorf","19,87","1.232","32,17","4,78"
"61012.0","Gralla","12,14","2.556","66,00","4,23"
"61013.0","Großklein","27,73","2.248","30,48","4,14"
"61016.0","Heimschuh","18,52","1.947","33,62","3,61"
"61017.0","Hengsberg","17,79","1.493","46,03","3,67"
"61019.0","Kitzeck im Sausal","16,35","1.234","43,69","3,54"
"61020.0","Lang","15,68","1.339","51,24","2,46"
"61021.0","Lebring-Sankt Margarethen","7,61","2.2","52,13","6,35"
"61024.0","Oberhaag","35,98","2.069","25,20","2,10"
"61027.0","Ragnitz","20,77","1.52","36,68","4,00"
"61030.0","Sankt Andrä-Höch","20,64","1.729","31,25","3,07"
"61032.0","Sankt Johann im Saggautal","27,04","1.999","25,10","4,35"
"61033.0","Sankt Nikolai im Sausal","26,17","2.291","45,88","2,90"
"61043.0","Tillmitsch","15,03","3.364","56,03","5,05"
"61045.0","Wagna","13,02","6.176","79,48","4,40"
"61049.0","Ehrenhausen an der Weinstraße","20,32","2.519","39,78","3,51"
"61050.0","Gamlitz","36,89","3.208","40,99","3,41"
"61051.0","Gleinstätten","21,92","2.775","32,63","4,53"
"61052.0","Heiligenkreuz am Waasen","26,39","2.833","45,82","2,88"
"61053.0","Leibnitz","23,55","12.405","81,50","6,10"
"61054.0","Leutschach an der Weinstraße","75,78","3.665","31,47","3,42"
"61055.0","Sankt Georgen an der Stiefing","18,73","1.552","45,00","3,30"
"61057.0","Schwarzautal","40,24","2.29","25,61","3,96"
"61059.0","Wildon","32,68","5.489","60,11","4,53"
"61060.0","Sankt Veit in der Südsteiermark","74,15","4.311","30,12","4,53"
"61061.0","Straß in Steiermark","47,70","6.372","33,36","4,45"
"","","","","",""
"","","","","",""
