"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41001.0","Allhaming","14,24","1.176","109,45","7,00"
"41002.0","Ansfelden","31,35","16.949","178,80","11,57"
"41003.0","Asten","8,48","6.745","156,08","10,11"
"41004.0","Eggendorf im Traunkreis","9,37","1.039","98,00","6,15"
"41005.0","Enns","33,06","11.951","144,38","11,38"
"41006.0","Hargelsberg","17,89","1.387","124,60","12,21"
"41007.0","Hörsching","20,00","6.19","198,88","10,87"
"41008.0","Hofkirchen im Traunkreis","13,91","1.945","110,90","8,45"
"41009.0","Kematen an der Krems","21,53","2.88","101,88","12,60"
"41010.0","Kirchberg-Thening","15,90","2.438","256,22","7,81"
"41011.0","Kronstorf","21,32","3.545","109,15","7,10"
"41012.0","Leonding","24,04","28.901","333,71","15,48"
"41013.0","St. Florian","44,14","6.178","153,42","9,06"
"41014.0","Neuhofen an der Krems","17,98","6.645","133,77","8,84"
"41015.0","Niederneukirchen","20,79","2.109","137,54","8,97"
"41016.0","Oftering","13,50","2.103","123,50","5,77"
"41017.0","Pasching","12,48","7.595","239,42","7,94"
"41018.0","Piberbach","17,30","1.88","108,28","12,61"
"41019.0","Pucking","19,69","3.997","156,83","5,55"
"41020.0","St. Marien","37,61","4.809","133,97","9,06"
"41021.0","Traun","15,50","24.712","218,90","7,60"
"41022.0","Wilhering","30,00","5.928","196,41","5,17"
"","","","","",""
"","","","","",""
