"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"10601.0","Draßburg","9,68","1.232","57,38","2,33"
"10602.0","Forchtenstein","16,58","2.766","55,02","2,00"
"10603.0","Hirm","3,11","1.022","72,50","1,65"
"10604.0","Loipersbach im Burgenland","8,54","1.209","55,00","1,34"
"10605.0","Marz","17,41","2.074","44,09","1,66"
"10606.0","Mattersburg","28,19","7.44","92,58","2,00"
"10607.0","Neudörfl","9,02","4.622","110,71","2,88"
"10608.0","Pöttelsdorf","7,86","749.0","62,04","2,26"
"10609.0","Pöttsching","24,63","2.974","77,82","1,95"
"10610.0","Rohrbach bei Mattersburg","15,22","2.641","50,25","1,57"
"10611.0","Bad Sauerbrunn","2,35","2.235","122,26","3,56"
"10612.0","Schattendorf","12,12","2.354","58,75","1,93"
"10613.0","Sieggraben","17,70","1.236","24,22","1,65"
"10614.0","Sigleß","10,17","1.164","59,09","1,83"
"10615.0","Wiesen","18,91","2.705","88,70","2,43"
"10616.0","Antau","8,75","773.0","27,41","4,47"
"10617.0","Baumgarten","6,96","885.0","58,01","2,05"
"10618.0","Zemendorf-Stöttera","12,83","1.276","55,67","1,99"
"10619.0","Krensdorf","7,78","632.0","54,72","1,73"
"","","","","",""
"","","","","",""
