"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31502.0","Artstetten-Pöbring","27,42","1.209","40,85","3,07"
"31503.0","Bergland","33,85","1.933","49,27","4,74"
"31504.0","Bischofstetten","19,11","1.218","39,02","4,72"
"31505.0","Blindenmarkt","16,97","2.681","50,59","9,28"
"31506.0","Dorfstetten","33,27","586.0","39,43","9,06"
"31507.0","Dunkelsteinerwald","54,31","2.396","39,38","2,72"
"31508.0","Erlauf","9,69","1.088","41,52","5,55"
"31509.0","Golling an der Erlauf","2,71","1.506","40,00","11,96"
"31511.0","Hofamt Priel","39,65","1.702","40,93","2,98"
"31513.0","Hürm","36,16","1.864","35,14","14,19"
"31514.0","Kilb","45,42","2.56","36,86","6,95"
"31515.0","Kirnberg an der Mank","17,72","1.09","keine Angabe","18,27"
"31516.0","Klein-Pöchlarn","6,91","1.021","51,51","2,47"
"31517.0","Krummnußbaum","10,04","1.529","42,60","5,18"
"31519.0","Leiben","12,56","1.362","38,00","9,40"
"31520.0","Loosdorf","11,85","3.804","65,77","6,33"
"31521.0","Mank","33,64","3.232","44,02","9,71"
"31522.0","Marbach an der Donau","10,69","1.7","49,70","4,59"
"31523.0","Maria Taferl","12,17","908.0","42,02","3,01"
"31524.0","Melk","25,77","5.636","80,05","3,44"
"31525.0","Münichreith-Laimbach","38,83","1.639","35,88","9,72"
"31527.0","Neumarkt an der Ybbs","9,33","1.992","43,00","5,49"
"31528.0","Nöchling","19,60","1.047","41,35","15,48"
"31530.0","Persenbeug-Gottsdorf","8,33","2.173","48,50","16,30"
"31531.0","Petzenkirchen","2,92","1.424","57,10","13,36"
"31533.0","Pöchlarn","17,91","3.961","54,44","9,06"
"31534.0","Pöggstall","59,01","2.422","39,98","2,28"
"31535.0","Raxendorf","36,07","1.047","42,00","2,62"
"31537.0","Ruprechtshofen","30,63","2.291","37,93","5,68"
"31539.0","St. Leonhard am Forst","43,70","3.038","40,13","3,62"
"31540.0","St. Martin-Karlsbach","24,87","1.636","41,77","5,00"
"31541.0","St. Oswald","31,99","1.123","35,00","12,08"
"31542.0","Schönbühel-Aggsbach","28,50","957.0","51,23","2,41"
"31543.0","Schollach","19,71","1.01","44,24","14,42"
"31546.0","Weiten","28,47","1.099","36,82","3,38"
"31549.0","Ybbs an der Donau","23,79","5.592","47,26","10,60"
"31550.0","Zelking-Matzleinsdorf","21,18","1.218","35,48","4,64"
"31551.0","Texingtal","32,51","1.668","37,03","20,36"
"31552.0","Yspertal","47,84","1.988","33,02","11,10"
"31553.0","Emmersdorf an der Donau","29,71","1.765","85,37","2,24"
"","","","","",""
"","","","","",""
