"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31601.0","Altlichtenwarth","20,43","769.0","23,09","1,81"
"31603.0","Asparn an der Zaya","40,50","1.875","36,68","2,96"
"31604.0","Bernhardsthal","52,09","1.571","36,78","1,83"
"31605.0","Bockfließ","23,04","1.339","129,28","2,69"
"31606.0","Drasenhofen","35,21","1.104","55,21","2,31"
"31608.0","Falkenstein","19,20","481.0","45,04","1,81"
"31609.0","Fallbach","30,43","817.0","59,19","2,97"
"31611.0","Gaubitsch","22,48","881.0","72,87","4,72"
"31612.0","Gaweinstal","51,73","3.985","64,03","2,07"
"31613.0","Gnadendorf","48,33","1.144","39,25","3,06"
"31614.0","Großebersdorf","18,01","2.197","106,90","2,96"
"31615.0","Großengersdorf","15,58","1.496","140,00","2,75"
"31616.0","Großharras","42,70","1.117","65,79","1,98"
"31617.0","Großkrut","38,47","1.605","47,53","2,85"
"31620.0","Hausbrunn","16,19","861.0","41,72","2,67"
"31621.0","Herrnbaumgarten","16,53","951.0","50,00","1,43"
"31622.0","Hochleithen","19,93","1.147","94,42","3,04"
"31627.0","Kreuttal","21,54","1.485","97,84","1,72"
"31628.0","Kreuzstetten","24,35","1.545","85,94","1,71"
"31629.0","Laa an der Thaya","72,91","6.237","32,48","2,51"
"31630.0","Ladendorf","50,14","2.282","65,00","2,03"
"31633.0","Mistelbach","131,61","11.566","86,81","2,64"
"31634.0","Neudorf im Weinviertel","40,15","1.407","46,91","3,43"
"31636.0","Niederleis","19,53","892.0","31,24","2,98"
"31642.0","Pillichsdorf","14,35","1.163","164,29","3,17"
"31644.0","Poysdorf","97,30","5.506","35,23","2,00"
"31645.0","Rabensburg","19,89","1.093","24,53","1,69"
"31646.0","Schrattenberg","19,15","825.0","40,00","1,60"
"31649.0","Staatz","42,67","1.912","44,31","2,06"
"31650.0","Stronsdorf","48,18","1.621","34,34","2,54"
"31651.0","Ulrichskirchen-Schleinbach","26,52","2.621","122,89","2,08"
"31652.0","Unterstinkenbrunn","9,43","556.0","keine Angabe","5,01"
"31653.0","Wildendürnbach","53,67","1.575","62,00","1,89"
"31654.0","Wilfersdorf","30,49","2.135","66,72","2,42"
"31655.0","Wolkersdorf im Weinviertel","44,62","7.299","183,54","2,47"
"31658.0","Ottenthal","15,40","537.0","26,13","1,61"
"","","","","",""
"","","","","",""
