"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"62007.0","Fohnsdorf","54,73","7.675","49,03","6,09"
"62008.0","Gaal","197,57","1.349","42,56","4,54"
"62010.0","Hohentauern","92,61","392.0","99,80","17,40"
"62014.0","Kobenz","17,65","1.912","57,99","5,80"
"62021.0","Pusterwald","105,39","435.0","31,20","2,00"
"62026.0","Sankt Georgen ob Judenburg","44,36","832.0","30,06","2,98"
"62032.0","Sankt Peter ob Judenburg","50,35","1.081","50,87","3,99"
"62034.0","Seckau","46,27","1.291","45,63","3,40"
"62036.0","Unzmarkt-Frauenburg","36,48","1.302","48,40","6,66"
"62038.0","Zeltweg","8,71","6.998","41,96","9,16"
"62039.0","Lobmingtal","54,43","1.844","45,60","5,12"
"62040.0","Judenburg","63,80","9.87","60,19","3,78"
"62041.0","Knittelfeld","13,86","12.621","66,89","11,84"
"62042.0","Obdach","159,23","3.756","39,46","5,17"
"62043.0","Pöls-Oberkurzheim","62,56","2.973","38,40","6,79"
"62044.0","Pölstal","270,41","2.598","32,16","6,82"
"62045.0","Sankt Marein-Feistritz","70,65","2.035","48,90","5,78"
"62046.0","Sankt Margarethen bei Knittelfeld","148,35","2.685","32,52","4,56"
"62047.0","Spielberg","29,72","5.364","57,89","6,04"
"62048.0","Weißkirchen in Steiermark","149,73","4.783","55,50","5,43"
