"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31701.0","Achau","11,88","1.425","351,37","8,91"
"31702.0","Biedermannsdorf","8,95","3.131","458,46","8,19"
"31703.0","Breitenfurt bei Wien","27,08","5.866","270,40","3,11"
"31704.0","Brunn am Gebirge","7,26","11.976","422,03","9,06"
"31706.0","Gaaden","24,90","1.645","310,77","21,62"
"31707.0","Gießhübl","3,91","2.367","474,62","5,12"
"31709.0","Gumpoldskirchen","8,11","3.901","384,00","3,30"
"31710.0","Guntramsdorf","14,87","9.227","404,49","4,73"
"31711.0","Hennersdorf","5,45","1.545","275,00","7,48"
"31712.0","Hinterbrühl","16,98","3.966","430,51","7,00"
"31713.0","Kaltenleutgeben","17,49","3.341","227,83","3,19"
"31714.0","Laab im Walde","7,15","1.113","281,48","2,87"
"31715.0","Laxenburg","10,61","2.886","436,24","9,15"
"31716.0","Maria Enzersdorf","5,27","8.627","527,12","6,14"
"31717.0","Mödling","10,04","20.562","480,20","8,33"
"31718.0","Münchendorf","20,00","2.96","204,36","7,96"
"31719.0","Perchtoldsdorf","12,58","15.013","545,73","6,79"
"31723.0","Vösendorf","10,48","7.295","295,61","10,33"
"31725.0","Wiener Neudorf","6,05","9.341","324,57","6,97"
"31726.0","Wienerwald","48,58","2.897","183,24","2,07"
"","","","","",""
"","","","","",""
