"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31801.0","Altendorf","7,23","357.0","46,39","4,37"
"31802.0","Aspang-Markt","5,22","1.783","76,07","4,76"
"31803.0","Aspangberg-St. Peter","81,75","1.858","57,55","3,25"
"31804.0","Breitenau","9,65","1.579","77,01","2,17"
"31805.0","Breitenstein","20,24","315.0","50,10","1,81"
"31806.0","Buchbach","3,03","352.0","64,07","11,32"
"31807.0","Edlitz","14,21","904.0","48,79","4,00"
"31808.0","Enzenreith","9,24","1.986","66,00","4,82"
"31809.0","Feistritz am Wechsel","24,04","1.033","49,18","2,13"
"31810.0","Gloggnitz","19,62","5.92","73,72","2,86"
"31811.0","Grafenbach-St. Valentin","13,97","2.208","58,65","1,93"
"31812.0","Grimmenstein","14,83","1.319","50,61","11,45"
"31813.0","Grünbach am Schneeberg","7,35","1.573","60,71","4,09"
"31814.0","Kirchberg am Wechsel","51,39","2.51","55,13","10,87"
"31815.0","Mönichkirchen","16,29","618.0","37,42","3,70"
"31817.0","Natschbach-Loipersbach","10,69","1.698","93,71","7,62"
"31818.0","Neunkirchen","20,39","12.712","86,00","2,00"
"31820.0","Otterthal","6,21","589.0","37,27","1,85"
"31821.0","Payerbach","17,70","2.06","64,85","5,32"
"31823.0","Pitten","13,10","2.855","80,00","2,05"
"31825.0","Prigglitz","18,02","430.0","73,00","1,78"
"31826.0","Puchberg am Schneeberg","83,42","2.693","72,28","2,26"
"31827.0","Raach am Hochgebirge","13,29","303.0","40,47","1,31"
"31829.0","Reichenau an der Rax","89,29","2.512","51,75","1,50"
"31830.0","St. Corona am Wechsel","8,75","388.0","36,48","2,03"
"31831.0","St. Egyden am Steinfeld","26,26","2.046","75,05","2,00"
"31832.0","Scheiblingkirchen-Thernberg","37,82","1.889","50,00","1,77"
"31833.0","Schottwien","12,56","679.0","52,19","2,26"
"31834.0","Schrattenbach","10,92","385.0","39,54","1,57"
"31835.0","Schwarzau am Steinfeld","9,72","2.016","79,04","2,66"
"31836.0","Schwarzau im Gebirge","192,33","613.0","28,23","3,18"
"31837.0","Seebenstein","9,16","1.445","75,44","1,10"
"31838.0","Semmering","8,72","526.0","61,19","2,49"
"31839.0","Ternitz","65,42","14.67","71,49","2,48"
"31840.0","Thomasberg","29,00","1.265","43,26","1,89"
"31841.0","Trattenbach","31,03","537.0","32,02","1,86"
"31842.0","Bürg-Vöstenhof","25,11","167.0","keine Angabe","9,01"
"31843.0","Warth","30,17","1.495","50,81","2,21"
"31844.0","Wartmannstetten","21,59","1.63","62,50","2,89"
"31845.0","Willendorf","7,40","968.0","60,71","2,08"
"31846.0","Wimpassing im Schwarzatale","2,08","1.622","67,54","keine Angabe"
"31847.0","Würflach","12,27","1.577","68,06","1,84"
"31848.0","Zöbern","31,56","1.401","38,67","2,72"
"31849.0","Höflein an der Hohen Wand","8,95","868.0","54,50","2,07"
"","","","","",""
"","","","","",""
