"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"10701.0","Andau","47,31","2.283","40,02","2,07"
"10702.0","Apetlon","82,08","1.762","36,33","2,03"
"10703.0","Bruckneudorf","36,65","3.099","137,50","3,78"
"10704.0","Deutsch Jahrndorf","27,42","615.0","42,56","1,70"
"10705.0","Frauenkirchen","31,95","2.875","70,72","2,47"
"10706.0","Gattendorf","25,12","1.372","111,25","1,67"
"10707.0","Gols","42,21","3.875","79,77","1,90"
"10708.0","Halbturn","55,19","1.932","62,90","1,96"
"10709.0","Illmitz","91,81","2.398","59,38","2,07"
"10710.0","Jois","25,92","1.64","101,57","2,98"
"10711.0","Kittsee","19,26","3.308","155,99","2,72"
"10712.0","Mönchhof","33,56","2.244","64,53","2,02"
"10713.0","Neusiedl am See","57,02","8.568","174,34","2,14"
"10714.0","Nickelsdorf","60,70","1.808","47,87","1,54"
"10715.0","Pama","26,40","1.218","59,68","1,99"
"10716.0","Pamhagen","33,04","1.574","52,27","2,27"
"10717.0","Parndorf","59,24","4.825","86,17","2,41"
"10718.0","Podersdorf am See","41,72","2.138","101,18","1,87"
"10719.0","Sankt Andrä am Zicksee","31,71","1.372","52,70","2,18"
"10720.0","Tadten","36,04","1.197","40,65","2,07"
"10721.0","Wallern im Burgenland","33,91","1.676","38,26","3,07"
"10722.0","Weiden am See","32,49","2.474","126,38","3,13"
"10723.0","Winden am See","13,50","1.333","73,77","1,81"
"10724.0","Zurndorf","54,29","2.276","75,76","2,26"
"10725.0","Neudorf","21,66","718.0","55,00","2,23"
"10726.0","Potzneusiedl","12,10","605.0","87,02","2,55"
"10727.0","Edelstal","5,89","768.0","134,88","1,66"
"","","","","",""
"","","","","",""
