"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"10901.0","Bad Tatzmannsdorf","11,62","1.619","55,61","1,15"
"10902.0","Bernstein","38,99","2.092","20,75","1,58"
"10903.0","Deutsch Schützen-Eisenberg","28,43","1.088","19,18","2,58"
"10904.0","Grafenschachen","9,94","1.261","22,13","4,53"
"10905.0","Großpetersdorf","31,32","3.566","27,70","1,36"
"10906.0","Hannersdorf","17,11","738.0","18,45","1,65"
"10907.0","Kemeten","20,67","1.511","21,50","1,52"
"10908.0","Kohfidisch","31,34","1.414","17,92","2,53"
"10909.0","Litzelsdorf","13,88","1.161","20,28","2,16"
"10910.0","Loipersdorf-Kitzladen","15,88","1.327","21,60","3,13"
"10911.0","Mariasdorf","20,54","1.167","22,50","1,29"
"10912.0","Markt Allhau","32,31","1.852","25,00","1,47"
"10913.0","Markt Neuhodis","19,95","658.0","21,47","1,53"
"10914.0","Mischendorf","26,18","1.537","43,17","1,38"
"10915.0","Oberdorf im Burgenland","9,24","995.0","19,63","2,23"
"10916.0","Oberschützen","44,39","2.438","26,95","1,70"
"10917.0","Oberwart","36,49","7.599","62,33","1,43"
"10918.0","Pinkafeld","27,43","5.905","47,40","2,70"
"10919.0","Rechnitz","43,77","2.967","23,00","2,19"
"10920.0","Riedlingsdorf","16,13","1.648","30,00","1,33"
"10921.0","Rotenturm an der Pinka","17,04","1.441","31,08","1,33"
"10922.0","Schachendorf","22,32","749.0","35,78","1,49"
"10923.0","Stadtschlaining","42,10","1.975","21,89","1,14"
"10924.0","Unterkohlstätten","29,14","1.0","24,05","1,34"
"10925.0","Unterwart","20,22","969.0","31,52","1,40"
"10926.0","Weiden bei Rechnitz","39,84","809.0","keine Angabe","1,29"
"10927.0","Wiesfleck","20,08","1.159","22,28","2,37"
"10928.0","Wolfau","15,02","1.405","24,79","1,63"
"10929.0","Neustift an der Lafnitz","3,50","812.0","27,71","2,26"
"10930.0","Jabing","7,78","735.0","18,42","1,42"
"10931.0","Badersdorf","8,65","291.0","21,28","4,53"
"10932.0","Schandorf","11,26","267.0","16,47","1,81"
"","","","","",""
"","","","","",""
