"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"70801.0","Bach","56,89","632.0","263,53","6,17"
"70802.0","Berwang","42,72","580.0","148,33","3,62"
"70803.0","Biberwier","29,41","621.0","123,77","2,10"
"70804.0","Bichlbach","30,64","782.0","90,35","1,97"
"70805.0","Breitenwang","19,01","1.461","161,36","4,53"
"70806.0","Ehenbichl","7,32","823.0","125,55","2,45"
"70807.0","Ehrwald","49,35","2.6","191,18","5,43"
"70808.0","Elbigenalp","33,10","874.0","95,20","9,06"
"70809.0","Elmen","29,62","384.0","738,35","38,04"
"70810.0","Forchach","14,25","265.0","90,70","2,73"
"70811.0","Grän","20,91","595.0","200,00","3,76"
"70812.0","Gramais","32,45","42.0","keine Angabe","keine Angabe"
"70813.0","Häselgehr","50,55","677.0","keine Angabe","27,07"
"70814.0","Heiterwang","35,72","522.0","122,67","3,24"
"70815.0","Hinterhornbach","50,58","90.0","keine Angabe","2,05"
"70816.0","Höfen","8,40","1.212","99,39","3,80"
"70817.0","Holzgau","36,01","403.0","111,52","2,11"
"70818.0","Jungholz","7,06","303.0","102,25","2,84"
"70819.0","Kaisers","74,48","75.0","keine Angabe","keine Angabe"
"70820.0","Lechaschau","6,11","2.109","138,88","20,63"
"70821.0","Lermoos","56,45","1.147","218,90","3,17"
"70822.0","Musau","20,67","389.0","122,14","16,86"
"70823.0","Namlos","28,77","73.0","keine Angabe","1,32"
"70824.0","Nesselwängle","23,02","460.0","126,25","3,82"
"70825.0","Pfafflar","33,61","107.0","keine Angabe","9,53"
"70826.0","Pflach","13,78","1.433","143,40","3,44"
"70827.0","Pinswang","9,44","417.0","125,91","2,85"
"70828.0","Reutte","100,79","6.899","199,19","4,65"
"70829.0","Schattwald","16,17","448.0","124,31","4,03"
"70830.0","Stanzach","31,75","459.0","88,73","34,59"
"70831.0","Steeg","67,98","664.0","136,88","16,97"
"70832.0","Tannheim","51,33","1.098","138,88","2,75"
"70833.0","Vils","30,75","1.482","114,54","3,62"
"70834.0","Vorderhornbach","17,24","250.0","82,67","16,30"
"70835.0","Wängle","9,32","934.0","160,87","4,61"
"70836.0","Weißenbach am Lech","82,06","1.257","115,61","15,63"
"70837.0","Zöblen","8,78","233.0","keine Angabe","10,23"
"","","","","",""
"","","","","",""
