"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41201.0","Andrichsfurt","12,35","776.0","39,87","8,96"
"41202.0","Antiesenhofen","8,61","1.097","35,00","18,71"
"41203.0","Aurolzmünster","15,98","3.076","50,93","20,09"
"41204.0","Eberschwang","40,45","3.463","41,70","4,15"
"41205.0","Eitzing","8,57","843.0","37,91","19,31"
"41206.0","Geiersberg","5,45","511.0","35,66","14,79"
"41207.0","Geinberg","14,04","1.413","49,02","7,09"
"41208.0","Gurten","16,22","1.196","37,69","9,99"
"41209.0","Hohenzell","22,53","2.275","79,05","4,36"
"41210.0","Kirchdorf am Inn","13,50","648.0","52,53","20,27"
"41211.0","Kirchheim im Innkreis","10,25","727.0","51,00","16,28"
"41212.0","Lambrechten","23,67","1.337","39,02","6,46"
"41213.0","Lohnsburg am Kobernaußerwald","39,62","2.246","39,61","4,35"
"41214.0","Mehrnbach","22,22","2.368","59,10","3,68"
"41215.0","Mettmach","29,59","2.349","37,98","9,53"
"41216.0","Mörschwang","11,01","343.0","36,97","17,89"
"41217.0","Mühlheim am Inn","10,92","662.0","46,52","11,44"
"41218.0","Neuhofen im Innkreis","15,59","2.464","79,64","3,79"
"41219.0","Obernberg am Inn","2,36","1.629","46,43","12,28"
"41220.0","Ort im Innkreis","11,50","1.267","39,49","15,72"
"41221.0","Pattigham","11,31","991.0","40,21","19,02"
"41222.0","Peterskirchen","10,24","697.0","37,56","13,82"
"41223.0","Pramet","13,90","1.025","36,81","17,07"
"41224.0","Reichersberg","21,06","1.553","43,17","14,33"
"41225.0","Ried im Innkreis","6,79","12.202","110,22","7,30"
"41226.0","St. Georgen bei Obernberg am Inn","18,33","570.0","38,63","11,18"
"41227.0","St. Marienkirchen am Hausruck","10,94","882.0","55,21","13,96"
"41228.0","St. Martin im Innkreis","8,86","2.077","58,80","7,33"
"41229.0","Schildorn","13,26","1.207","39,15","20,01"
"41230.0","Senftenbach","9,73","777.0","58,50","7,02"
"41231.0","Taiskirchen im Innkreis","34,49","2.41","40,00","10,28"
"41232.0","Tumeltsham","9,11","1.596","76,38","5,51"
"41233.0","Utzenaich","20,35","1.572","47,50","18,29"
"41234.0","Waldzell","40,26","2.218","42,16","5,55"
"41235.0","Weilbach","13,49","619.0","58,01","2,88"
"41236.0","Wippenham","8,09","569.0","42,00","11,99"
"","","","","",""
"","","","","",""
