"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41304.0","Altenfelden","26,45","2.257","51,62","2,12"
"41305.0","Arnreit","20,33","1.137","43,00","2,30"
"41306.0","Atzesberg","12,68","440.0","99,76","2,58"
"41307.0","Auberg","12,53","556.0","39,02","10,88"
"41309.0","Haslach an der Mühl","12,42","2.554","39,73","8,57"
"41311.0","Hörbich","11,22","399.0","37,07","3,57"
"41312.0","Hofkirchen im Mühlkreis","22,60","1.501","41,93","9,63"
"41313.0","Julbach","21,78","1.553","keine Angabe","3,57"
"41314.0","Kirchberg ob der Donau","21,28","1.054","58,99","14,24"
"41315.0","Klaffer am Hochficht","27,99","1.295","keine Angabe","4,37"
"41316.0","Kleinzell im Mühlkreis","16,14","1.635","52,20","19,93"
"41317.0","Kollerschlag","17,47","1.515","108,49","7,25"
"41318.0","Lembach im Mühlkreis","7,99","1.532","40,16","7,44"
"41319.0","Lichtenau im Mühlkreis","9,92","479.0","74,27","2,12"
"41320.0","Nebelberg","9,15","643.0","78,74","3,41"
"41321.0","Neufelden","9,80","1.257","46,23","8,83"
"41322.0","Niederkappel","22,43","981.0","keine Angabe","4,54"
"41323.0","Niederwaldkirchen","28,27","1.834","44,32","5,86"
"41324.0","Oberkappel","12,18","726.0","126,03","7,00"
"41325.0","Oepping","23,02","1.517","40,45","8,64"
"41326.0","Peilstein im Mühlviertel","23,25","1.54","47,21","7,03"
"41327.0","Pfarrkirchen im Mühlkreis","31,16","1.447","43,82","2,47"
"41328.0","Putzleinsdorf","22,07","1.537","39,80","5,18"
"41329.0","Neustift im Mühlkreis","20,41","1.459","keine Angabe","8,69"
"41331.0","St. Johann am Wimberg","19,73","1.008","41,73","9,32"
"41332.0","St. Martin im Mühlkreis","34,90","3.779","52,80","13,59"
"41333.0","St. Oswald bei Haslach","8,13","488.0","keine Angabe","2,16"
"41334.0","St. Peter am Wimberg","23,37","1.748","48,60","12,04"
"41336.0","St. Ulrich im Mühlkreis","15,37","643.0","49,00","4,94"
"41337.0","St. Veit im Mühlkreis","16,34","1.246","50,00","6,32"
"41338.0","Sarleinsbach","36,87","2.284","43,65","3,87"
"41341.0","Schwarzenberg am Böhmerwald","27,21","575.0","46,91","11,16"
"41342.0","Ulrichsberg","56,91","2.834","37,00","3,62"
"41343.0","Aigen-Schlägl","45,88","3.235","40,50","10,04"
"41344.0","Rohrbach-Berg","37,96","5.211","81,25","2,43"
"41345.0","Helfenberg","24,68","1.552","34,58","2,81"
"41346.0","St. Stefan-Afiesl","27,59","1.111","35,01","9,57"
"","","","","",""
"","","","","",""
