"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"50301.0","Anif","7,61","4.233","831,41","13,71"
"50302.0","Anthering","25,26","3.735","278,78","9,19"
"50303.0","Bergheim","15,25","5.51","370,32","6,96"
"50304.0","Berndorf bei Salzburg","14,48","1.708","111,00","7,41"
"50305.0","Bürmoos","6,94","4.971","155,10","3,36"
"50306.0","Dorfbeuern","14,63","1.563","134,38","4,82"
"50307.0","Ebenau","17,18","1.43","140,99","14,99"
"50308.0","Elixhausen","8,35","3.036","364,83","1,93"
"50309.0","Elsbethen","23,97","5.482","560,09","7,27"
"50310.0","Eugendorf","29,02","7.037","258,75","13,78"
"50311.0","Faistenau","51,24","3.089","178,00","9,25"
"50312.0","Fuschl am See","21,42","1.562","331,81","4,08"
"50313.0","Göming","8,79","778.0","136,15","7,25"
"50314.0","Grödig","23,03","7.375","328,85","4,37"
"50315.0","Großgmain","22,84","2.618","301,65","5,17"
"50316.0","Hallwang","13,15","4.252","362,34","12,47"
"50317.0","Henndorf am Wallersee","23,53","4.926","242,37","7,23"
"50318.0","Hintersee","47,36","466.0","147,00","4,23"
"50319.0","Hof bei Salzburg","19,65","3.587","205,31","2,26"
"50320.0","Köstendorf","23,13","2.669","169,55","5,73"
"50321.0","Koppl","20,91","3.632","282,39","8,41"
"50322.0","Lamprechtshausen","31,79","3.979","156,69","6,15"
"50323.0","Mattsee","24,64","3.389","312,64","13,01"
"50324.0","Neumarkt am Wallersee","36,33","6.384","151,16","5,21"
"50325.0","Nußdorf am Haunsberg","35,58","2.387","161,89","6,04"
"50326.0","Oberndorf bei Salzburg","4,55","5.818","320,76","18,96"
"50327.0","Obertrum am See","21,32","4.833","150,00","7,32"
"50328.0","Plainfeld","5,25","1.24","184,50","9,89"
"50329.0","Sankt Georgen bei Salzburg","24,65","2.995","135,84","4,58"
"50330.0","Sankt Gilgen","98,95","3.954","313,10","4,90"
"50331.0","Schleedorf","10,42","1.081","142,86","8,15"
"50332.0","Seeham","10,39","1.917","186,52","5,73"
"50335.0","Straßwalchen","44,55","7.633","142,27","4,71"
"50336.0","Strobl","94,09","3.649","156,88","5,34"
"50337.0","Thalgau","48,23","5.977","222,93","8,52"
"50338.0","Wals-Siezenheim","26,63","13.301","427,44","7,99"
"50339.0","Seekirchen am Wallersee","50,33","10.943","288,76","5,00"
"","","","","",""
"","","","","",""
