"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"31901.0","Altlengbach","35,56","3.042","72,14","5,01"
"31902.0","Asperhofen","28,95","2.251","67,50","3,20"
"31903.0","Böheimkirchen","45,52","5.106","81,87","4,09"
"31904.0","Brand-Laaben","34,55","1.236","68,93","7,16"
"31905.0","Eichgraben","8,88","4.648","123,36","4,94"
"31906.0","Frankenfels","56,20","1.936","37,63","6,03"
"31907.0","Gerersdorf","13,67","993.0","63,73","9,06"
"31909.0","Hofstetten-Grünau","36,03","2.681","66,89","3,26"
"31910.0","Hafnerbach","29,29","1.656","60,35","5,29"
"31911.0","Haunoldstein","9,91","1.225","56,88","9,41"
"31912.0","Herzogenburg","46,18","7.816","61,11","5,93"
"31913.0","Inzersdorf-Getzersdorf","13,58","1.604","55,31","4,46"
"31915.0","Kapelln","20,19","1.388","48,65","8,31"
"31916.0","Karlstetten","28,49","2.187","78,44","5,46"
"31917.0","Kasten bei Böheimkirchen","20,55","1.407","65,10","3,76"
"31918.0","Kirchberg an der Pielach","63,45","3.198","61,34","6,03"
"31919.0","Kirchstetten","17,78","2.21","58,56","4,27"
"31920.0","Loich","24,59","599.0","40,00","21,49"
"31921.0","Maria-Anzbach","18,20","3.061","102,43","2,72"
"31922.0","Markersdorf-Haindorf","16,68","2.086","51,24","10,68"
"31923.0","Michelbach","25,07","890.0","51,15","1,30"
"31925.0","Neidling","18,72","1.46","68,89","4,74"
"31926.0","Neulengbach","51,67","8.263","90,91","3,71"
"31927.0","Neustift-Innermanzing","14,84","1.572","86,60","2,63"
"31928.0","Nußdorf ob der Traisen","15,52","1.794","52,21","7,85"
"31929.0","Ober-Grafendorf","24,62","4.592","76,20","6,93"
"31930.0","Obritzberg-Rust","41,57","2.326","53,75","7,76"
"31932.0","Prinzersdorf","4,06","1.581","70,12","10,28"
"31934.0","Pyhra","66,97","3.549","76,50","3,62"
"31935.0","Rabenstein an der Pielach","36,24","2.555","63,44","14,67"
"31938.0","St. Margarethen an der Sierning","14,59","1.01","47,18","12,65"
"31939.0","Schwarzenbach an der Pielach","45,40","380.0","keine Angabe","1,23"
"31940.0","Statzendorf","12,48","1.418","47,58","4,40"
"31941.0","Stössing","27,52","845.0","42,00","10,03"
"31943.0","Traismauer","43,05","6.322","55,84","4,15"
"31945.0","Weinburg","10,41","1.387","64,32","4,78"
"31946.0","Perschling","23,81","1.404","44,04","9,70"
"31947.0","Wilhelmsburg","45,99","6.486","80,22","4,13"
"31948.0","Wölbling","32,38","2.573","50,94","5,28"
"31949.0","Gablitz","18,16","5.005","284,37","3,30"
"31950.0","Mauerbach","20,36","3.636","223,96","4,99"
"31951.0","Pressbaum","58,92","7.787","160,01","7,41"
"31952.0","Purkersdorf","30,27","9.808","247,37","4,04"
"31953.0","Tullnerbach","20,25","2.885","195,95","2,06"
"31954.0","Wolfsgraben","17,45","1.723","135,52","4,11"
"","","","","",""
"","","","","",""
