"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"50401.0","Altenmarkt im Pongau","48,63","4.404","238,03","6,52"
"50402.0","Bad Hofgastein","103,82","6.861","209,02","7,66"
"50403.0","Bad Gastein","170,67","3.923","160,25","10,35"
"50404.0","Bischofshofen","49,57","10.586","370,00","2,42"
"50405.0","Dorfgastein","54,16","1.618","204,50","3,38"
"50406.0","Eben im Pongau","35,95","2.534","214,95","8,45"
"50407.0","Filzmoos","75,70","1.508","178,84","8,10"
"50408.0","Flachau","117,41","2.877","287,24","5,00"
"50409.0","Forstau","59,48","552.0","138,98","10,04"
"50410.0","Goldegg","33,10","2.565","235,87","4,16"
"50411.0","Großarl","129,38","3.79","238,85","7,07"
"50412.0","Hüttau","53,60","1.463","76,52","7,56"
"50413.0","Hüttschlag","97,30","907.0","123,13","10,61"
"50414.0","Kleinarl","70,57","799.0","191,78","6,19"
"50415.0","Mühlbach am Hochkönig","51,70","1.469","126,47","2,10"
"50416.0","Pfarrwerfen","38,19","2.438","159,22","5,56"
"50417.0","Radstadt","60,88","4.885","172,34","5,71"
"50418.0","Sankt Johann im Pongau","78,19","11.218","344,05","2,19"
"50419.0","Sankt Martin am Tennengebirge","47,04","1.696","133,42","7,10"
"50420.0","Sankt Veit im Pongau","56,94","3.833","199,41","3,16"
"50421.0","Schwarzach im Pongau","3,20","3.494","171,61","8,84"
"50422.0","Untertauern","71,79","463.0","158,85","18,50"
"50423.0","Wagrain","50,57","3.106","255,25","6,30"
"50424.0","Werfen","153,34","3.051","164,12","9,47"
"50425.0","Werfenweng","45,10","1.043","243,64","7,14"
"","","","","",""
"","","","","",""
