"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"32001.0","Gaming","244,00","3.03","46,41","4,29"
"32002.0","Göstling an der Ybbs","143,75","2.027","50,48","3,08"
"32003.0","Gresten","3,84","1.983","58,89","4,43"
"32004.0","Gresten-Land","55,65","1.499","54,00","2,63"
"32005.0","Lunz am See","101,73","1.789","52,20","2,61"
"32006.0","Oberndorf an der Melk","42,96","2.959","41,48","2,56"
"32007.0","Puchenstuben","41,31","291.0","39,27","5,79"
"32008.0","Purgstall an der Erlauf","56,00","5.373","64,73","5,66"
"32009.0","Randegg","51,84","1.878","45,17","2,39"
"32010.0","Reinsberg","29,46","1.047","35,56","6,06"
"32011.0","St. Anton an der Jeßnitz","69,73","1.188","43,53","3,87"
"32012.0","St. Georgen an der Leys","23,84","1.331","37,35","2,72"
"32013.0","Scheibbs","45,99","4.126","84,03","4,42"
"32014.0","Steinakirchen am Forst","34,94","2.249","45,18","4,95"
"32015.0","Wang","19,59","1.358","35,06","3,66"
"32016.0","Wieselburg","5,42","4.257","88,00","5,30"
"32017.0","Wieselburg-Land","33,90","3.419","56,00","4,71"
"32018.0","Wolfpassing","20,30","1.633","45,00","6,13"
"","","","","",""
"","","","","",""
