"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"70901.0","Achenkirch","113,98","2.207","158,69","2,81"
"70902.0","Aschau im Zillertal","20,25","1.846","221,05","21,64"
"70903.0","Brandberg","156,17","361.0","125,00","13,73"
"70904.0","Bruck am Ziller","6,01","1.121","283,30","19,44"
"70905.0","Buch in Tirol","9,53","2.607","254,70","5,59"
"70907.0","Eben am Achensee","196,53","3.265","287,75","13,22"
"70908.0","Finkenberg","171,64","1.419","172,34","14,77"
"70909.0","Fügen","6,64","4.23","371,69","23,92"
"70910.0","Fügenberg","58,56","1.403","258,10","11,52"
"70911.0","Gallzein","10,66","678.0","208,00","7,64"
"70912.0","Gerlos","118,81","807.0","344,67","12,46"
"70913.0","Gerlosberg","16,28","476.0","155,76","16,20"
"70914.0","Hainzenberg","21,48","716.0","127,62","14,34"
"70915.0","Hart im Zillertal","35,55","1.585","225,00","3,25"
"70916.0","Hippach","39,41","1.445","161,89","5,22"
"70917.0","Jenbach","15,28","7.211","287,92","11,85"
"70918.0","Kaltenbach","12,11","1.31","216,00","7,57"
"70920.0","Mayrhofen","178,74","3.885","446,94","7,03"
"70921.0","Pill","20,95","1.187","201,88","9,06"
"70922.0","Ramsau im Zillertal","8,97","1.652","301,00","6,17"
"70923.0","Ried im Zillertal","9,48","1.274","399,91","19,40"
"70924.0","Rohrberg","10,16","580.0","212,74","2,09"
"70925.0","Schlitters","10,33","1.508","208,00","13,86"
"70926.0","Schwaz","20,21","13.763","384,10","2,99"
"70927.0","Schwendau","17,33","1.748","320,21","13,62"
"70928.0","Stans","20,08","2.126","290,05","9,06"
"70929.0","Steinberg am Rofan","68,57","281.0","127,36","17,74"
"70930.0","Strass im Zillertal","5,96","843.0","201,51","17,68"
"70931.0","Stumm","4,94","1.916","296,80","keine Angabe"
"70932.0","Stummerberg","56,67","852.0","125,21","14,65"
"70933.0","Terfens","15,22","2.179","222,60","7,15"
"70934.0","Tux","111,14","1.953","274,13","2,06"
"70935.0","Uderns","6,72","1.844","324,40","26,64"
"70936.0","Vomp","182,53","5.226","300,00","13,69"
"70937.0","Weer","5,59","1.584","359,65","2,85"
"70938.0","Weerberg","55,42","2.499","197,10","18,12"
"70939.0","Wiesing","10,38","2.141","257,35","5,43"
"70940.0","Zell am Ziller","2,42","1.719","231,75","22,05"
"70941.0","Zellberg","12,14","661.0","232,29","20,02"
"","","","","",""
"","","","","",""
