"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41401.0","Altschwendt","12,75","703.0","63,06","15,40"
"41402.0","Andorf","37,69","5.191","49,83","6,11"
"41403.0","Brunnenthal","14,83","2.096","52,67","3,23"
"41404.0","Diersbach","28,10","1.566","39,00","3,62"
"41405.0","Dorf an der Pram","12,68","1.053","36,35","15,66"
"41406.0","Eggerding","22,32","1.332","35,14","12,68"
"41407.0","Engelhartszell","18,89","923.0","keine Angabe","6,93"
"41408.0","Enzenkirchen","23,30","1.78","132,02","7,97"
"41409.0","Esternberg","40,28","2.858","39,94","3,05"
"41410.0","Freinberg","20,32","1.441","42,18","5,29"
"41411.0","Kopfing im Innkreis","33,32","1.991","36,81","2,53"
"41412.0","Mayrhof","5,34","324.0","112,20","12,79"
"41413.0","Münzkirchen","21,07","2.538","35,97","18,60"
"41414.0","Raab","22,50","2.289","40,16","9,87"
"41415.0","Rainbach im Innkreis","24,42","1.495","33,02","18,12"
"41416.0","Riedau","7,64","2.066","40,16","19,93"
"41417.0","St. Aegidi","28,64","1.546","40,00","5,25"
"41418.0","St. Florian am Inn","24,17","3.151","49,30","7,42"
"41419.0","St. Marienkirchen bei Schärding","24,92","1.907","38,71","11,78"
"41420.0","St. Roman","31,78","1.727","36,00","12,64"
"41421.0","St. Willibald","14,52","1.102","61,83","8,84"
"41422.0","Schärding","3,96","5.251","97,66","14,66"
"41423.0","Schardenberg","31,60","2.44","41,81","8,71"
"41424.0","Sigharting","5,67","825.0","34,88","13,25"
"41425.0","Suben","6,41","1.558","39,77","22,64"
"41426.0","Taufkirchen an der Pram","29,16","2.921","36,14","13,05"
"41427.0","Vichtenstein","10,77","614.0","39,75","10,69"
"41428.0","Waldkirchen am Wesen","21,45","1.185","44,30","3,63"
"41429.0","Wernstein am Inn","16,53","1.534","39,77","15,00"
"41430.0","Zell an der Pram","23,38","2.016","46,27","5,17"
"","","","","",""
"","","","","",""
