"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41501.0","Adlwang","17,20","1.885","86,60","6,18"
"41502.0","Aschach an der Steyr","21,94","2.305","75,80","3,39"
"41503.0","Bad Hall","13,31","5.42","101,18","7,70"
"41504.0","Dietach","20,71","3.257","117,73","9,08"
"41505.0","Gaflenz","59,03","1.93","65,36","4,28"
"41506.0","Garsten","53,32","6.646","106,68","5,44"
"41507.0","Großraming","108,07","2.684","61,62","2,17"
"41508.0","Laussa","34,50","1.235","46,24","4,60"
"41509.0","Losenstein","19,40","1.632","60,23","2,10"
"41510.0","Maria Neustift","45,89","1.608","52,21","4,38"
"41511.0","Pfarrkirchen bei Bad Hall","11,14","2.317","98,48","6,80"
"41512.0","Reichraming","102,74","1.71","48,52","6,50"
"41513.0","Rohr im Kremstal","13,60","1.413","76,97","8,11"
"41514.0","St. Ulrich bei Steyr","39,12","3.03","158,03","13,59"
"41515.0","Schiedlberg","30,03","1.244","86,83","10,84"
"41516.0","Sierning","38,30","9.374","86,00","8,57"
"41517.0","Ternberg","62,11","3.391","80,14","4,06"
"41518.0","Waldneukirchen","26,57","2.223","71,23","9,61"
"41521.0","Wolfern","32,59","3.171","98,51","8,95"
"41522.0","Weyer","223,88","4.177","48,00","6,20"
"","","","","",""
"","","","","",""
