"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"62311.0","Edelsbach bei Feldbach","16,14","1.35","26,36","3,91"
"62314.0","Eichkögl","14,92","1.336","26,44","8,34"
"62326.0","Halbenrain","38,80","1.742","29,45","2,41"
"62330.0","Jagerberg","29,07","1.639","112,53","2,52"
"62332.0","Kapfenstein","28,69","1.566","45,48","2,49"
"62335.0","Klöch","16,42","1.166","30,06","4,32"
"62343.0","Mettersdorf am Saßbach","22,77","1.284","25,10","3,62"
"62368.0","Tieschen","18,18","1.223","66,13","2,80"
"62372.0","Unterlamm","16,74","1.248","24,55","2,77"
"62375.0","Bad Gleichenberg","38,79","5.221","35,68","2,66"
"62376.0","Bad Radkersburg","30,01","3.178","37,11","3,66"
"62377.0","Deutsch Goritz","34,04","1.798","22,88","3,11"
"62378.0","Fehring","87,27","7.18","27,90","3,07"
"62379.0","Feldbach","67,31","13.457","40,00","3,37"
"62380.0","Gnas","81,80","5.994","28,27","3,05"
"62381.0","Kirchbach-Zerlach","39,18","3.267","30,12","2,32"
"62382.0","Kirchberg an der Raab","43,93","4.578","29,00","4,00"
"62383.0","Mureck","38,75","3.529","30,02","4,54"
"62384.0","Paldau","39,23","3.159","26,49","2,64"
"62385.0","Pirching am Traubenberg","31,58","2.532","33,57","2,42"
"62386.0","Riegersburg","71,17","4.954","29,41","3,14"
"62387.0","Sankt Anna am Aigen","32,63","2.364","24,13","2,00"
"62388.0","Sankt Peter am Ottersbach","48,59","2.945","24,88","3,03"
"62389.0","Sankt Stefan im Rosental","43,22","3.907","32,54","2,60"
"62390.0","Straden","56,53","3.523","25,00","2,63"
"","","","","",""
"","","","","",""
