"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"32101.0","Absdorf","16,00","2.139","85,00","8,00"
"32104.0","Atzenbrugg","26,02","3.125","72,38","5,12"
"32106.0","Fels am Wagram","29,42","2.356","149,20","3,62"
"32107.0","Grafenwörth","46,42","3.173","73,53","3,80"
"32109.0","Großriedenthal","18,76","919.0","143,66","3,34"
"32110.0","Großweikersdorf","43,43","3.191","75,00","3,09"
"32112.0","Judenau-Baumgarten","14,32","2.285","112,50","5,28"
"32114.0","Kirchberg am Wagram","60,29","3.709","78,00","4,61"
"32115.0","Königsbrunn am Wagram","28,60","1.37","62,16","3,96"
"32116.0","Königstetten","13,15","2.525","148,35","3,08"
"32119.0","Langenrohr","22,57","2.426","103,37","4,57"
"32120.0","Michelhausen","32,03","3.424","140,55","6,34"
"32131.0","Sieghartskirchen","61,72","7.528","98,81","2,53"
"32132.0","Sitzenberg-Reidling","22,15","2.231","75,00","4,94"
"32134.0","Tulbing","18,36","2.978","140,20","3,43"
"32135.0","Tulln an der Donau","72,26","16.209","161,89","5,07"
"32139.0","Würmla","20,45","1.47","70,27","6,09"
"32140.0","Zeiselmauer-Wolfpassing","12,73","2.315","141,02","2,66"
"32141.0","Zwentendorf an der Donau","53,78","4.095","61,27","10,16"
"32142.0","St. Andrä-Wördern","39,33","7.861","163,33","2,72"
"32143.0","Muckendorf-Wipfing","6,34","1.664","117,06","5,99"
"32144.0","Klosterneuburg","76,24","27.487","429,52","4,86"
"","","","","",""
"","","","","",""
