"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41601.0","Alberndorf in der Riedmark","40,38","4.165","98,91","2,66"
"41602.0","Altenberg bei Linz","36,33","4.666","145,28","6,34"
"41603.0","Bad Leonfelden","40,40","4.253","105,95","3,96"
"41604.0","Eidenberg","29,28","2.119","88,35","5,00"
"41605.0","Engerwitzdorf","41,01","8.805","146,02","4,30"
"41606.0","Feldkirchen an der Donau","39,42","5.353","97,86","6,34"
"41607.0","Gallneukirchen","5,19","6.583","212,55","3,50"
"41608.0","Goldwörth","10,83","817.0","87,44","6,50"
"41609.0","Gramastetten","40,25","5.119","123,99","4,78"
"41610.0","Haibach im Mühlkreis","14,58","923.0","61,29","2,22"
"41611.0","Hellmonsödt","18,08","2.337","136,90","4,00"
"41612.0","Herzogsdorf","35,60","2.648","60,66","17,44"
"41613.0","Kirchschlag bei Linz","16,79","2.201","108,15","3,65"
"41614.0","Lichtenberg","18,60","2.705","179,20","6,10"
"41615.0","Oberneukirchen","34,65","3.188","59,00","7,73"
"41616.0","Ottenschlag im Mühlkreis","13,15","559.0","65,49","1,83"
"41617.0","Ottensheim","11,73","4.748","229,78","4,53"
"41618.0","Puchenau","8,18","4.454","279,19","4,14"
"41619.0","Reichenau im Mühlkreis","9,58","1.336","80,94","13,89"
"41620.0","Reichenthal","18,90","1.498","65,03","6,30"
"41621.0","St. Gotthard im Mühlkreis","12,07","1.305","63,19","5,32"
"41622.0","Schenkenfelden","25,87","1.572","56,98","3,52"
"41623.0","Sonnberg im Mühlkreis","12,61","1.024","85,00","2,02"
"41624.0","Steyregg","32,97","4.946","115,06","3,40"
"41626.0","Walding","15,33","4.177","138,71","11,16"
"41627.0","Zwettl an der Rodl","15,47","1.756","86,56","2,61"
"41628.0","Vorderweißenbach","63,24","2.669","56,84","13,26"
"","","","","",""
"","","","","",""
