"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"61611.0","Krottendorf-Gaisfeld","17,06","2.46","48,00","4,98"
"61612.0","Ligist","34,64","3.24","50,20","2,24"
"61615.0","Mooskirchen","17,98","2.205","48,14","3,02"
"61618.0","Rosental an der Kainach","6,55","1.683","45,48","7,38"
"61621.0","Sankt Martin am Wöllmißberg","25,78","818.0","47,68","2,08"
"61624.0","Stallhofen","27,34","3.151","46,47","1,98"
"61625.0","Voitsberg","28,64","9.429","70,18","2,47"
"61626.0","Bärnbach","31,61","5.657","63,19","4,58"
"61627.0","Edelschrott","87,74","1.713","36,12","2,60"
"61628.0","Geistthal-Södingberg","52,64","1.5","27,31","2,83"
"61629.0","Hirschegg-Pack","99,19","1.011","30,12","9,87"
"61630.0","Kainach bei Voitsberg","83,48","1.605","30,05","8,39"
"61631.0","Köflach","43,33","9.764","54,08","3,67"
"61632.0","Maria Lankowitz","104,28","2.78","50,00","3,27"
"61633.0","Söding-Sankt Johann","19,38","4.097","51,00","3,85"
"","","","","",""
"","","","","",""
