"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41701.0","Ampflwang im Hausruckwald","20,57","3.383","48,00","3,09"
"41703.0","Attnang-Puchheim","12,33","9.102","91,05","7,19"
"41704.0","Atzbach","14,18","1.22","56,03","5,07"
"41705.0","Aurach am Hongar","24,80","1.727","59,19","4,04"
"41706.0","Berg im Attergau","20,59","1.073","90,00","7,02"
"41707.0","Desselbrunn","17,38","1.863","52,50","11,22"
"41708.0","Fornach","17,76","975.0","48,38","2,72"
"41709.0","Frankenburg am Hausruck","48,58","4.899","50,47","3,07"
"41710.0","Frankenmarkt","18,42","3.692","68,59","9,68"
"41711.0","Gampern","26,34","2.989","63,19","5,90"
"41712.0","Innerschwand am Mondsee","18,75","1.172","118,46","2,29"
"41713.0","Lenzing","8,89","5.216","74,37","6,14"
"41714.0","Manning","10,05","790.0","57,35","6,13"
"41715.0","Mondsee","16,61","3.822","255,95","18,35"
"41716.0","Neukirchen an der Vöckla","23,60","2.629","46,80","4,94"
"41717.0","Niederthalheim","15,34","1.095","48,05","7,11"
"41718.0","Nußdorf am Attersee","27,52","1.148","190,89","2,77"
"41719.0","Oberhofen am Irrsee","21,20","1.682","101,25","4,31"
"41720.0","Oberndorf bei Schwanenstadt","6,05","1.388","59,87","3,48"
"41721.0","Oberwang","38,85","1.744","91,69","7,20"
"41722.0","Ottnang am Hausruck","30,29","3.912","46,41","3,18"
"41723.0","Pfaffing","12,91","1.48","52,27","4,54"
"41724.0","Pilsbach","10,28","623.0","100,39","2,83"
"41725.0","Pitzenberg","6,14","547.0","68,46","2,59"
"41726.0","Pöndorf","50,93","2.42","48,52","4,53"
"41727.0","Puchkirchen am Trattberg","7,73","1.06","47,09","18,12"
"41728.0","Pühret","6,53","625.0","57,89","3,09"
"41729.0","Redleiten","14,34","541.0","40,21","3,81"
"41730.0","Redlham","8,05","1.624","63,23","12,51"
"41731.0","Regau","33,95","6.681","86,17","3,62"
"41732.0","Rüstorf","13,64","2.166","65,44","7,08"
"41733.0","Rutzenham","4,95","300.0","53,75","2,61"
"41734.0","St. Georgen im Attergau","15,59","4.395","78,00","5,86"
"41735.0","St. Lorenz","23,58","2.514","230,25","7,01"
"41736.0","Schlatt","11,01","1.38","72,00","7,65"
"41737.0","Schörfling am Attersee","23,21","3.459","152,82","3,56"
"41738.0","Schwanenstadt","2,64","4.362","87,31","14,66"
"41739.0","Seewalchen am Attersee","23,76","5.682","102,29","3,48"
"41740.0","Steinbach am Attersee","61,15","883.0","128,79","4,68"
"41741.0","Straß im Attergau","30,86","1.499","63,42","3,44"
"41742.0","Tiefgraben","38,30","4.028","214,70","4,19"
"41743.0","Timelkam","18,14","5.79","87,50","4,33"
"41744.0","Ungenach","14,44","1.499","52,85","4,52"
"41745.0","Unterach am Attersee","26,12","1.517","254,43","3,74"
"41746.0","Vöcklabruck","15,59","12.403","144,72","6,31"
"41747.0","Vöcklamarkt","27,46","5.085","59,95","4,13"
"41748.0","Weißenkirchen im Attergau","26,72","974.0","47,85","3,43"
"41749.0","Weyregg am Attersee","54,67","1.563","233,20","2,47"
"41750.0","Wolfsegg am Hausruck","11,97","1.998","43,78","4,43"
"41751.0","Zell am Moos","24,48","1.618","187,64","3,68"
"41752.0","Zell am Pettenfirst","13,69","1.263","46,41","2,72"
"","","","","",""
"","","","","",""
