"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"20801.0","Bleiburg","69,79","4.067","28,26","4,30"
"20802.0","Diex","54,82","796.0","34,77","1,48"
"20803.0","Eberndorf","67,84","5.878","36,32","2,83"
"20804.0","Eisenkappel-Vellach","199,54","2.277","35,63","2,49"
"20805.0","Feistritz ob Bleiburg","54,15","2.206","30,48","3,68"
"20806.0","Gallizien","46,61","1.752","33,12","2,50"
"20807.0","Globasnitz","38,35","1.603","33,70","3,40"
"20808.0","Griffen","74,90","3.431","34,86","3,11"
"20810.0","Neuhaus","36,37","1.021","26,73","2,20"
"20812.0","Ruden","42,41","1.514","31,72","6,42"
"20813.0","St. Kanzian am Klopeiner See","41,10","4.488","56,47","3,28"
"20815.0","Sittersdorf","45,05","1.97","34,39","2,07"
"20817.0","Völkermarkt","137,50","10.919","44,44","3,39"
"","","","","",""
"","","","","",""
