"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"41801.0","Aichkirchen","6,50","601.0","48,00","5,43"
"41802.0","Bachmanning","7,22","738.0","50,00","4,53"
"41803.0","Bad Wimsbach-Neydharting","24,32","2.592","68,75","7,55"
"41804.0","Buchkirchen","32,16","4.069","108,00","8,84"
"41805.0","Eberstalzell","27,57","2.701","75,84","11,32"
"41806.0","Edt bei Lambach","21,18","2.259","76,96","5,66"
"41807.0","Fischlham","15,65","1.359","80,00","4,53"
"41808.0","Gunskirchen","36,25","6.276","139,58","5,92"
"41809.0","Holzhausen","7,76","1.032","127,35","6,34"
"41810.0","Krenglbach","15,34","3.177","109,00","11,84"
"41811.0","Lambach","3,74","3.605","82,55","15,40"
"41812.0","Marchtrenk","23,14","14.038","126,33","9,06"
"41813.0","Neukirchen bei Lambach","11,85","931.0","61,13","8,99"
"41814.0","Offenhausen","15,06","1.71","61,44","3,58"
"41815.0","Pennewang","18,36","919.0","76,61","7,03"
"41816.0","Pichl bei Wels","26,44","2.914","88,18","3,98"
"41817.0","Sattledt","22,16","2.712","86,17","8,10"
"41818.0","Schleißheim","7,66","1.425","118,99","5,93"
"41819.0","Sipbachzell","24,89","2.081","119,74","7,00"
"41820.0","Stadl-Paura","15,03","5.004","69,88","8,25"
"41821.0","Steinerkirchen an der Traun","32,63","2.39","68,30","7,56"
"41822.0","Steinhaus","25,13","2.265","145,99","10,90"
"41823.0","Thalheim bei Wels","16,32","5.531","220,22","9,06"
"41824.0","Weißkirchen an der Traun","21,72","3.424","128,73","6,28"
