"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"90101.0","Wien-Innere Stadt","2,87","16.047","keine Angabe","keine Angabe"
"90201.0","Wien-Leopoldstadt","19,25","105.848","1.731,66","keine Angabe"
"90301.0","Wien-Landstraße","7,40","91.68","1.148,46","keine Angabe"
"90401.0","Wien-Wieden","1,78","33.212","keine Angabe","keine Angabe"
"90501.0","Wien-Margareten","2,01","55.123","5.103,92","keine Angabe"
"90601.0","Wien-Mariahilf","1,46","31.651","4.476,48","keine Angabe"
"90701.0","Wien-Neubau","1,61","31.961","keine Angabe","keine Angabe"
"90801.0","Wien-Josefstadt","1,09","25.021","2.818,49","keine Angabe"
"90901.0","Wien-Alsergrund","2,97","41.884","1.612,00","keine Angabe"
"91001.0","Wien-Favoriten","31,83","207.193","637,71","keine Angabe"
"91101.0","Wien-Simmering","23,25","104.434","645,62","keine Angabe"
"91201.0","Wien-Meidling","8,10","97.078","907,36","keine Angabe"
"91301.0","Wien-Hietzing","37,71","54.04","950,26","keine Angabe"
"91401.0","Wien-Penzing","33,76","93.634","605,86","keine Angabe"
"91501.0","Wien-Rudolfsheim-Fünfhaus","3,92","76.813","2.451,62","keine Angabe"
"91601.0","Wien-Ottakring","8,67","103.117","747,35","keine Angabe"
"91701.0","Wien-Hernals","11,39","57.027","928,66","keine Angabe"
"91801.0","Wien-Währing","6,35","51.497","1.440,00","keine Angabe"
"91901.0","Wien-Döbling","24,94","73.901","1.171,71","keine Angabe"
"92001.0","Wien-Brigittenau","5,71","86.368","920,54","keine Angabe"
"92101.0","Wien-Floridsdorf","44,44","167.968","609,60","keine Angabe"
"92201.0","Wien-Donaustadt","102,30","195.23","547,24","keine Angabe"
"92301.0","Wien-Liesing","32,06","110.464","623,22","keine Angabe"
