"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"32301.0","Bad Fischau-Brunn","20,65","3.457","128,88","3,00"
"32302.0","Bad Schönau","13,61","726.0","61,32","3,67"
"32304.0","Ebenfurth","23,51","3.122","95,02","18,12"
"32305.0","Eggendorf","20,63","4.919","111,19","4,00"
"32306.0","Bad Erlach","9,17","3.142","105,75","2,72"
"32307.0","Felixdorf","2,55","4.356","104,31","7,09"
"32308.0","Gutenstein","104,14","1.271","63,65","2,00"
"32309.0","Hochneukirchen-Gschaidt","35,27","1.639","43,08","11,41"
"32310.0","Hochwolkersdorf","23,81","1.017","45,02","2,24"
"32311.0","Hohe Wand","24,65","1.401","77,97","2,17"
"32312.0","Hollenthon","23,94","1.008","36,66","19,28"
"32313.0","Katzelsdorf","16,27","3.223","144,67","2,86"
"32314.0","Kirchschlag in der Buckligen Welt","57,81","2.838","50,06","3,81"
"32315.0","Krumbach","43,96","2.276","64,80","5,44"
"32316.0","Lanzenkirchen","29,88","3.986","100,96","5,26"
"32317.0","Lichtenegg","35,36","1.044","56,32","18,25"
"32318.0","Lichtenwörth","22,99","2.766","111,98","3,58"
"32319.0","Markt Piesting","18,31","3.088","90,68","2,07"
"32320.0","Matzendorf-Hölles","14,28","2.091","96,77","1,89"
"32321.0","Miesenbach","34,39","678.0","41,26","1,80"
"32322.0","Muggendorf","51,36","510.0","61,96","1,97"
"32323.0","Pernitz","16,76","2.491","82,36","6,23"
"32324.0","Rohr im Gebirge","80,92","461.0","38,02","5,35"
"32325.0","Bromberg","31,10","1.188","41,20","4,13"
"32326.0","Schwarzenbach","22,35","927.0","keine Angabe","7,84"
"32327.0","Sollenau","10,69","5.194","139,22","3,64"
"32330.0","Theresienfeld","11,48","3.673","92,11","13,39"
"32331.0","Waidmannsfeld","21,49","1.503","68,29","2,50"
"32332.0","Waldegg","36,12","2.055","71,45","3,86"
"32333.0","Walpersbach","16,50","1.149","71,30","2,07"
"32334.0","Weikersdorf am Steinfelde","14,40","1.069","80,94","2,89"
"32335.0","Wiesmath","38,47","1.515","39,75","3,68"
"32336.0","Winzendorf-Muthmannsdorf","16,21","1.859","92,91","2,72"
"32337.0","Wöllersdorf-Steinabrückl","14,59","4.581","84,92","2,80"
"32338.0","Zillingdorf","15,34","2.06","89,98","2,76"
