"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"32501.0","Allentsteig","71,66","1.779","64,30","6,17"
"32502.0","Arbesbach","55,10","1.61","56,75","7,08"
"32503.0","Bärnkopf","47,61","351.0","keine Angabe","9,13"
"32504.0","Echsenbach","23,11","1.271","39,35","7,10"
"32505.0","Göpfritz an der Wild","60,73","1.816","27,45","2,00"
"32506.0","Grafenschlag","34,17","853.0","74,78","2,30"
"32508.0","Groß Gerungs","105,84","4.449","27,13","2,13"
"32509.0","Großgöttfritz","40,08","1.38","43,00","2,04"
"32511.0","Gutenbrunn","27,37","521.0","26,72","12,34"
"32514.0","Kirchschlag","29,26","621.0","keine Angabe","2,04"
"32515.0","Kottes-Purk","58,50","1.459","keine Angabe","1,86"
"32516.0","Langschlag","61,15","1.736","keine Angabe","1,56"
"32517.0","Martinsberg","33,76","1.102","26,90","3,25"
"32518.0","Ottenschlag","26,13","995.0","29,22","10,87"
"32519.0","Altmelon","38,33","844.0","keine Angabe","6,01"
"32520.0","Pölla","104,30","923.0","35,42","2,20"
"32521.0","Rappottenstein","65,76","1.724","25,00","3,62"
"32522.0","Sallingberg","51,65","1.264","81,63","1,81"
"32523.0","Schönbach","34,80","780.0","47,68","2,08"
"32524.0","Schwarzenau","28,25","1.522","40,87","7,52"
"32525.0","Schweiggers","58,57","2.007","27,80","2,33"
"32528.0","Bad Traunstein","47,48","1.008","45,29","3,58"
"32529.0","Waldhausen","39,76","1.218","98,70","2,47"
"32530.0","Zwettl-Niederösterreich","256,25","10.789","59,34","2,30"
