Location;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Österreich;40,7;40,4;39,9;40,1;40,3;40,7;41,2;41,3;41,4;41,8;41,6;42,0;42,7;43,1;42,8;42,8;42,7;42,9
Burgenland;13,1;13,4;13,7;15,0;15,4;16,6;16,7;18,6;17,9;19,4;19,3;19,6;20,3;19,2;19,1;21,1;21,5;20,7
Kärnten;33,5;31,9;31,7;31,9;33,6;33,2;34,3;34,7;34,5;33,9;31,8;32,1;35,3;34,9;33,5;33,7;33,7;34,6
Niederösterreich;23,8;23,4;23,3;24,1;24,0;23,8;24,4;26,1;25,9;25,8;25,6;25,7;26,4;27,1;27,7;27,2;27,4;27,9
Oberösterreich;33,2;33,5;32,3;32,8;33,5;34,5;35,0;34,0;33,5;34,4;33,7;32,7;33,7;35,3;34,3;34,1;35,6;35,2
Salzburg;33,3;33,5;33,7;33,1;32,3;31,9;32,7;34,0;35,1;34,2;35,9;36,0;36,6;36,1;35,0;36,6;36,8;36,8
Steiermark;32,2;31,5;30,7;29,5;30,8;31,6;32,1;32,7;31,7;32,0;33,2;33,4;34,0;34,9;35,1;33,6;34,0;34,4
Tirol;31,3;30,5;30,4;29,4;30,4;29,6;31,4;32,7;32,2;32,8;31,7;32,3;34,8;34,4;34,9;35,9;33,9;34,1
Voralberg;30,4;29,8;29,0;29,0;29,3;29,9;30,0;30,5;31,0;31,3;31,9;31,5;32,1;33,1;34,5;33,7;35,4;35,4
Wien;77,3;77,5;76,8;77,4;76,9;77,9;77,7;76,0;77,4;78,2;77,2;79,4;78,3;78,2;77,5;78,1;76,9;77,2
