;Location;Year;Rent Rate
0;Österreich;2004-01-01;40.7
1;Burgenland;2004-01-01;13.1
2;Kärnten;2004-01-01;33.5
3;Niederösterreich;2004-01-01;23.8
4;Oberösterreich;2004-01-01;33.2
5;Salzburg;2004-01-01;33.3
6;Steiermark;2004-01-01;32.2
7;Tirol;2004-01-01;31.3
8;Voralberg;2004-01-01;30.4
9;Wien;2004-01-01;77.3
10;Österreich;2005-01-01;40.4
11;Burgenland;2005-01-01;13.4
12;Kärnten;2005-01-01;31.9
13;Niederösterreich;2005-01-01;23.4
14;Oberösterreich;2005-01-01;33.5
15;Salzburg;2005-01-01;33.5
16;Steiermark;2005-01-01;31.5
17;Tirol;2005-01-01;30.5
18;Voralberg;2005-01-01;29.8
19;Wien;2005-01-01;77.5
20;Österreich;2006-01-01;39.9
21;Burgenland;2006-01-01;13.7
22;Kärnten;2006-01-01;31.7
23;Niederösterreich;2006-01-01;23.3
24;Oberösterreich;2006-01-01;32.3
25;Salzburg;2006-01-01;33.7
26;Steiermark;2006-01-01;30.7
27;Tirol;2006-01-01;30.4
28;Voralberg;2006-01-01;29.0
29;Wien;2006-01-01;76.8
30;Österreich;2007-01-01;40.1
31;Burgenland;2007-01-01;15.0
32;Kärnten;2007-01-01;31.9
33;Niederösterreich;2007-01-01;24.1
34;Oberösterreich;2007-01-01;32.8
35;Salzburg;2007-01-01;33.1
36;Steiermark;2007-01-01;29.5
37;Tirol;2007-01-01;29.4
38;Voralberg;2007-01-01;29.0
39;Wien;2007-01-01;77.4
40;Österreich;2008-01-01;40.3
41;Burgenland;2008-01-01;15.4
42;Kärnten;2008-01-01;33.6
43;Niederösterreich;2008-01-01;24.0
44;Oberösterreich;2008-01-01;33.5
45;Salzburg;2008-01-01;32.3
46;Steiermark;2008-01-01;30.8
47;Tirol;2008-01-01;30.4
48;Voralberg;2008-01-01;29.3
49;Wien;2008-01-01;76.9
50;Österreich;2009-01-01;40.7
51;Burgenland;2009-01-01;16.6
52;Kärnten;2009-01-01;33.2
53;Niederösterreich;2009-01-01;23.8
54;Oberösterreich;2009-01-01;34.5
55;Salzburg;2009-01-01;31.9
56;Steiermark;2009-01-01;31.6
57;Tirol;2009-01-01;29.6
58;Voralberg;2009-01-01;29.9
59;Wien;2009-01-01;77.9
60;Österreich;2010-01-01;41.2
61;Burgenland;2010-01-01;16.7
62;Kärnten;2010-01-01;34.3
63;Niederösterreich;2010-01-01;24.4
64;Oberösterreich;2010-01-01;35.0
65;Salzburg;2010-01-01;32.7
66;Steiermark;2010-01-01;32.1
67;Tirol;2010-01-01;31.4
68;Voralberg;2010-01-01;30.0
69;Wien;2010-01-01;77.7
70;Österreich;2011-01-01;41.3
71;Burgenland;2011-01-01;18.6
72;Kärnten;2011-01-01;34.7
73;Niederösterreich;2011-01-01;26.1
