;Location;Year;Newly built homes
0;Burgenland;2010-01-01;735.0
1;Kärnten;2010-01-01;996.0
2;Niederösterreich;2010-01-01;3009.0
3;Oberösterreich;2010-01-01;3202.0
4;Salzburg;2010-01-01;708.0
5;Steiermark;2010-01-01;1762.0
6;Tirol;2010-01-01;977.0
7;Vorarlberg;2010-01-01;684.0
8;Wien;2010-01-01;641.0
9;Burgenland;2011-01-01;855.0
10;Kärnten;2011-01-01;1027.0
11;Niederösterreich;2011-01-01;3256.0
12;Oberösterreich;2011-01-01;3108.0
13;Salzburg;2011-01-01;701.0
14;Steiermark;2011-01-01;1972.0
15;Tirol;2011-01-01;1134.0
16;Vorarlberg;2011-01-01;618.0
17;Wien;2011-01-01;680.0
18;Burgenland;2012-01-01;703.0
19;Kärnten;2012-01-01;922.0
20;Niederösterreich;2012-01-01;3000.0
21;Oberösterreich;2012-01-01;2762.0
22;Salzburg;2012-01-01;672.0
23;Steiermark;2012-01-01;1778.0
24;Tirol;2012-01-01;868.0
25;Vorarlberg;2012-01-01;573.0
26;Wien;2012-01-01;660.0
27;Burgenland;2013-01-01;727.0
28;Kärnten;2013-01-01;907.0
29;Niederösterreich;2013-01-01;2954.0
30;Oberösterreich;2013-01-01;2650.0
31;Salzburg;2013-01-01;687.0
32;Steiermark;2013-01-01;1706.0
33;Tirol;2013-01-01;944.0
34;Vorarlberg;2013-01-01;534.0
35;Wien;2013-01-01;582.0
36;Burgenland;2014-01-01;716.0
37;Kärnten;2014-01-01;766.0
38;Niederösterreich;2014-01-01;3055.0
39;Oberösterreich;2014-01-01;2844.0
40;Salzburg;2014-01-01;651.0
41;Steiermark;2014-01-01;2085.0
42;Tirol;2014-01-01;937.0
43;Vorarlberg;2014-01-01;561.0
44;Wien;2014-01-01;607.0
45;Burgenland;2015-01-01;801.0
46;Kärnten;2015-01-01;854.0
47;Niederösterreich;2015-01-01;3283.0
48;Oberösterreich;2015-01-01;2954.0
49;Salzburg;2015-01-01;631.0
50;Steiermark;2015-01-01;1694.0
51;Tirol;2015-01-01;949.0
52;Vorarlberg;2015-01-01;550.0
53;Wien;2015-01-01;568.0
54;Burgenland;2016-01-01;781.0
55;Kärnten;2016-01-01;930.0
56;Niederösterreich;2016-01-01;3350.0
57;Oberösterreich;2016-01-01;3118.0
58;Salzburg;2016-01-01;779.0
59;Steiermark;2016-01-01;1851.0
60;Tirol;2016-01-01;1087.0
61;Vorarlberg;2016-01-01;610.0
62;Wien;2016-01-01;568.0
63;Burgenland;2017-01-01;809.0
64;Kärnten;2017-01-01;897.0
65;Niederösterreich;2017-01-01;3203.0
66;Oberösterreich;2017-01-01;2979.0
67;Salzburg;2017-01-01;676.0
68;Steiermark;2017-01-01;1863.0
69;Tirol;2017-01-01;1001.0
70;Vorarlberg;2017-01-01;593.0
71;Wien;2017-01-01;593.0
72;Burgenland;2018-01-01;812.0
73;Kärnten;2018-01-01;973.0
74;Niederösterreich;2018-01-01;3323.0
75;Oberösterreich;2018-01-01;3020.0
76;Salzburg;2018-01-01;568.0
77;Steiermark;2018-01-01;1845.0
78;Tirol;2018-01-01;943.0
79;Vorarlberg;2018-01-01;569.0
80;Wien;2018-01-01;554.0
81;Burgenland;2019-01-01;761.3118228
82;Kärnten;2019-01-01;1009.649116
83;Niederösterreich;2019-01-01;3471.898223
84;Oberösterreich;2019-01-01;3038.37769
85;Salzburg;2019-01-01;603.8884302
86;Steiermark;2019-01-01;2002.016282
87;Tirol;2019-01-01;898.8383866
88;Vorarlberg;2019-01-01;608.4992602
89;Wien;2019-01-01;471.0666197
90;Burgenland;2020-01-01;843.8218027
91;Kärnten;2020-01-01;1074.547564
92;Niederösterreich;2020-01-01;3588.132253
93;Oberösterreich;2020-01-01;3171.373426
94;Salzburg;2020-01-01;665.2474323
95;Steiermark;2020-01-01;2081.468471
96;Tirol;2020-01-01;960.5926709
97;Vorarlberg;2020-01-01;631.2591943
98;Wien;2020-01-01;484.7614655
99;Burgenland;2021-01-01;1007.490061
100;Kärnten;2021-01-01;1126.817379
101;Niederösterreich;2021-01-01;4262.605725
102;Oberösterreich;2021-01-01;3388.632299
103;Salzburg;2021-01-01;566.4025661
104;Steiermark;2021-01-01;2301.568415
105;Tirol;2021-01-01;982.4949788
106;Vorarlberg;2021-01-01;793.8607399
107;Wien;2021-01-01;506.3892303
108;Burgenland;2022-01-01;476.2663089
109;Kärnten;2022-01-01;549.5235703
110;Niederösterreich;2022-01-01;2071.801176
111;Oberösterreich;2022-01-01;1448.472879
112;Salzburg;2022-01-01;269.561375
113;Steiermark;2022-01-01;918.4221483
114;Tirol;2022-01-01;342.3779211
115;Vorarlberg;2022-01-01;338.1505899
116;Wien;2022-01-01;260.0957238
