;Municipalitynumber;Municipality;Size;Residents;Buildingprice;Grasslandprice
0;30501.0;Allhartsberg;21.28;2147.0;44.09;3.66
1;30502.0;Amstetten;51.95;23841.0;80.31;3.56
2;30503.0;Ardagger;46.93;3541.0;42.93;2.54
3;30504.0;Aschbach-Markt;37.26;3819.0;45.0;4.5
4;30506.0;Behamberg;20.27;3426.0;70.85;3.89
5;30507.0;Biberbach;28.42;2263.0;49.41;3.62
6;30508.0;Ennsdorf;7.69;3068.0;115.0;6.83
7;30509.0;Ernsthofen;17.72;2253.0;64.18;3.62
8;30510.0;Ertl;20.99;126.0;36.83;2.72
9;30511.0;Euratsfeld;30.47;2679.0;57.47;3.71
10;30512.0;Ferschnitz;15.51;1831.0;48.0;4.0
11;30514.0;Haag;55.03;5639.0;79.73;4.96
12;30515.0;Haidershofen;31.95;3695.0;71.23;5.12
13;30516.0;Hollenstein an der Ybbs;126.58;1698.0;45.15;7.01
14;30517.0;Kematen an der Ybbs;10.99;26.0;55.0;5.06
15;30520.0;Neuhofen an der Ybbs;36.37;2975.0;41.45;3.21
16;30521.0;Neustadtl an der Donau;47.89;2142.0;41.03;1.99
17;30522.0;Oed-Oehling;10.66;1937.0;46.86;3.71
18;30524.0;Opponitz;39.63;9080.0;40.62;1.71
19;30526.0;St. Georgen am Reith;40.11;5460.0;41.77;2.09
20;30527.0;St. Georgen am Ybbsfelde;22.72;2846.0;55.0;5.82
21;30529.0;St. Pantaleon-Erla;28.48;2627.0;75.72;4.94
22;30530.0;St. Peter in der Au;59.87;5204.0;55.0;3.1
23;30531.0;St. Valentin;45.75;93.0;95.5;7.15
24;30532.0;Seitenstetten;30.54;3448.0;55.52;5.43
25;30533.0;Sonntagberg;18.31;3818.0;46.71;3.36
26;30534.0;Strengberg;36.69;2087.0;51.03;4.3
27;30536.0;Viehdorf;15.73;1364.0;45.0;3.62
28;30538.0;Wallsee-Sindelburg;25.97;2192.0;61.88;4.6
29;30539.0;Weistrach;35.75;2262.0;58.22;3.52
30;30541.0;Winklarn;12.58;176.0;63.81;4.53
31;30542.0;Wolfsbach;31.01;2044.0;39.77;5.08
32;30543.0;Ybbsitz;104.36;341.0;50.0;2.68
33;30544.0;Zeillern;21.48;1887.0;49.0;4.03
34;;;;;;
35;;;;;;
36;30601.0;Alland;68.55;2574.0;151.77;4.31
37;30602.0;Altenmarkt an der Triesting;63.57;209.0;82.45;2.49
38;30603.0;Bad Vöslau;39.16;12061.0;237.52;2.15
39;30604.0;Baden;26.9;25951.0;365.19;3.07
40;30605.0;Berndorf;17.62;9059.0;128.37;3.69
41;30607.0;Ebreichsdorf;43.23;11234.0;171.85;7.62
42;30608.0;Enzesfeld-Lindabrunn;15.9;4226.0;125.18;2.18
43;30609.0;Furth an der Triesting;64.19;8580.0;91.03;6.3
44;30612.0;Günselsdorf;6.61;1722.0;137.5;2.46
45;30613.0;Heiligenkreuz;29.72;154.0;172.72;2.7
46;30614.0;Hernstein;46.51;1536.0;107.18;2.83
47;30615.0;Hirtenberg;1.49;2616.0;118.99;14.17
48;30616.0;Klausen-Leopoldsdorf;60.0;1698.0;109.75;2.11
49;30618.0;Kottingbrunn;11.52;7416.0;160.69;4.12
50;30620.0;Leobersdorf;12.4;4907.0;156.27;4.0
51;30621.0;Mitterndorf an der Fischa;10.79;2886.0;99.84;5.17
52;30623.0;Oberwaltersdorf;13.57;4739.0;228.99;3.78
53;30625.0;Pfaffstätten;7.84;3588.0;380.05;3.15
54;30626.0;Pottendorf;39.79;7192.0;152.82;4.3
55;30627.0;Pottenstein;33.53;2928.0;115.73;8.45
56;30629.0;Reisenberg;17.82;1755.0;103.5;2.41
57;30631.0;Schönau an der Triesting;8.14;2136.0;161.24;1.91
58;30633.0;Seibersdorf;20.2;1508.0;82.63;5.09
59;30635.0;Sooß;5.5;1052.0;107.5;3.66
60;30636.0;Tattendorf;14.35;1483.0;147.14;3.3
61;30637.0;Teesdorf;7.3;181.0;130.0;8.52
62;30639.0;Traiskirchen;29.12;19132.0;186.14;4.09
63;30641.0;Trumau;18.58;3724.0;202.5;4.5
64;30645.0;Weissenbach an der Triesting;15.87;1709.0;101.4;4.37
65;30646.0;Blumau-Neurißhof;4.33;1847.0;130.0;5.36
66;;;;;;
67;;;;;;
68;80101.0;Bartholomäberg;27.21;2365.0;168.43;2.24
69;80102.0;Blons;14.9;3280.0;100.05;2.68
70;80103.0;Bludenz;29.96;14832.0;258.75;7.95
71;80104.0;Bludesch;7.59;24.0;224.98;8.84
