;Location;Year;Renting Costs
0;Burgenland;2005-01-01;4.06
1;Kärnten;2005-01-01;4.55
2;Niederösterreich;2005-01-01;4.77
3;Oberösterreich;2005-01-01;5.15
4;Salzburg;2005-01-01;6.49
5;Steiermark;2005-01-01;5.12
6;Tirol;2005-01-01;6.27
7;Voralberg;2005-01-01;6.21
8;Wien;2005-01-01;5.34
9;Burgenland;2006-01-01;3.97
10;Kärnten;2006-01-01;4.61
11;Niederösterreich;2006-01-01;4.82
12;Oberösterreich;2006-01-01;5.25
13;Salzburg;2006-01-01;6.64
14;Steiermark;2006-01-01;5.25
15;Tirol;2006-01-01;6.42
16;Voralberg;2006-01-01;6.59
17;Wien;2006-01-01;5.49
18;Burgenland;2007-01-01;3.91
19;Kärnten;2007-01-01;4.76
20;Niederösterreich;2007-01-01;4.86
21;Oberösterreich;2007-01-01;5.24
22;Salzburg;2007-01-01;6.97
23;Steiermark;2007-01-01;5.41
24;Tirol;2007-01-01;6.25
25;Voralberg;2007-01-01;6.76
26;Wien;2007-01-01;5.66
27;Burgenland;2008-01-01;4.21
28;Kärnten;2008-01-01;4.84
29;Niederösterreich;2008-01-01;5.05
30;Oberösterreich;2008-01-01;5.46
31;Salzburg;2008-01-01;6.95
32;Steiermark;2008-01-01;5.55
33;Tirol;2008-01-01;6.21
34;Voralberg;2008-01-01;6.73
35;Wien;2008-01-01;5.79
36;Burgenland;2009-01-01;4.43
37;Kärnten;2009-01-01;4.88
38;Niederösterreich;2009-01-01;5.24
39;Oberösterreich;2009-01-01;5.69
40;Salzburg;2009-01-01;7.03
41;Steiermark;2009-01-01;5.79
42;Tirol;2009-01-01;6.4
43;Voralberg;2009-01-01;6.82
44;Wien;2009-01-01;6.04
45;Burgenland;2010-01-01;4.41
46;Kärnten;2010-01-01;4.93
47;Niederösterreich;2010-01-01;5.42
48;Oberösterreich;2010-01-01;5.75
49;Salzburg;2010-01-01;7.12
50;Steiermark;2010-01-01;5.83
51;Tirol;2010-01-01;6.57
52;Voralberg;2010-01-01;6.88
53;Wien;2010-01-01;6.23
54;Burgenland;2011-01-01;4.64
55;Kärnten;2011-01-01;5.13
56;Niederösterreich;2011-01-01;5.59
57;Oberösterreich;2011-01-01;5.88
58;Salzburg;2011-01-01;7.41
59;Steiermark;2011-01-01;5.87
60;Tirol;2011-01-01;6.83
61;Voralberg;2011-01-01;7.06
62;Wien;2011-01-01;6.48
63;Burgenland;2012-01-01;4.78
64;Kärnten;2012-01-01;5.27
65;Niederösterreich;2012-01-01;5.89
66;Oberösterreich;2012-01-01;6.08
67;Salzburg;2012-01-01;7.93
68;Steiermark;2012-01-01;5.99
69;Tirol;2012-01-01;7.1
70;Voralberg;2012-01-01;7.25
71;Wien;2012-01-01;6.69
72;Burgenland;2013-01-01;4.86
73;Kärnten;2013-01-01;5.38
74;Niederösterreich;2013-01-01;6.04
75;Oberösterreich;2013-01-01;6.32
76;Salzburg;2013-01-01;8.06
77;Steiermark;2013-01-01;6.33
78;Tirol;2013-01-01;7.38
79;Voralberg;2013-01-01;7.53
80;Wien;2013-01-01;6.89
81;Burgenland;2014-01-01;5.06
82;Kärnten;2014-01-01;5.56
83;Niederösterreich;2014-01-01;6.24
84;Oberösterreich;2014-01-01;6.48
85;Salzburg;2014-01-01;8.36
86;Steiermark;2014-01-01;6.59
87;Tirol;2014-01-01;7.64
88;Voralberg;2014-01-01;7.78
89;Wien;2014-01-01;7.21
90;Burgenland;2015-01-01;5.36
91;Kärnten;2015-01-01;5.71
92;Niederösterreich;2015-01-01;6.3
93;Oberösterreich;2015-01-01;6.67
94;Salzburg;2015-01-01;8.66
95;Steiermark;2015-01-01;6.74
96;Tirol;2015-01-01;7.87
97;Voralberg;2015-01-01;8.11
98;Wien;2015-01-01;7.45
99;Burgenland;2016-01-01;5.51
100;Kärnten;2016-01-01;5.89
101;Niederösterreich;2016-01-01;6.53
102;Oberösterreich;2016-01-01;6.86
103;Salzburg;2016-01-01;9.04
104;Steiermark;2016-01-01;6.93
105;Tirol;2016-01-01;8.32
106;Voralberg;2016-01-01;8.3
107;Wien;2016-01-01;7.68
108;Burgenland;2017-01-01;5.82
109;Kärnten;2017-01-01;6.03
110;Niederösterreich;2017-01-01;6.81
111;Oberösterreich;2017-01-01;7.15
112;Salzburg;2017-01-01;9.17
113;Steiermark;2017-01-01;7.16
114;Tirol;2017-01-01;8.47
115;Voralberg;2017-01-01;8.8
116;Wien;2017-01-01;7.99
117;Burgenland;2018-01-01;5.93
118;Kärnten;2018-01-01;6.15
119;Niederösterreich;2018-01-01;6.92
120;Oberösterreich;2018-01-01;7.36
121;Salzburg;2018-01-01;9.23
122;Steiermark;2018-01-01;7.41
123;Tirol;2018-01-01;8.7
124;Voralberg;2018-01-01;8.95
125;Wien;2018-01-01;8.25
126;Burgenland;2019-01-01;6.02
127;Kärnten;2019-01-01;6.34
128;Niederösterreich;2019-01-01;7.09
129;Oberösterreich;2019-01-01;7.5
130;Salzburg;2019-01-01;9.53
131;Steiermark;2019-01-01;7.64
132;Tirol;2019-01-01;8.75
133;Voralberg;2019-01-01;9.29
134;Wien;2019-01-01;8.42
135;Burgenland;2020-01-01;6.43
136;Kärnten;2020-01-01;6.49
137;Niederösterreich;2020-01-01;7.43
138;Oberösterreich;2020-01-01;7.68
139;Salzburg;2020-01-01;9.9
140;Steiermark;2020-01-01;7.83
141;Tirol;2020-01-01;9.2
142;Voralberg;2020-01-01;9.57
143;Wien;2020-01-01;8.65
144;Burgenland;2021-01-01;6.33
145;Kärnten;2021-01-01;6.43
146;Niederösterreich;2021-01-01;7.37
147;Oberösterreich;2021-01-01;7.65
148;Salzburg;2021-01-01;10.06
149;Steiermark;2021-01-01;7.86
150;Tirol;2021-01-01;9.3
151;Voralberg;2021-01-01;9.77
152;Wien;2021-01-01;8.66
